,P01,P02,P03,P04,P05,P06,P07,P08,C01,C02,C03,C04,C05,C06
P01,0.567958832447692,0.0,0.0,0.0,-0.09501611033554841,-0.01801791125664059,0.0,-0.0006477833889735456,-0.022421183798425223,0.0,0.0,0.0,0.0,-2.632490424613175e-05
P02,-0.00013124667724867252,0.44331400749050975,-0.06806543449882628,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
P03,0.0,0.0,0.4154251876897411,0.0,-0.06848151990234803,0.0,0.0,0.0,0.0,0.0,0.0,-0.02549479929432813,-0.0,-0.0220776288451533
P04,-0.15569706870803285,0.0,0.0,0.38995035465472344,0.0,-0.004434413590412246,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
P05,0.0,0.0,-0.030008778221278974,0.0,0.38564121751385916,-0.02850955634865402,0.0,-0.1870015102315823,0.0,-4.0772144198662466e-05,-0.0,0.0,-0.032087072418433636,-0.0071130661622567405
P06,-0.0,-0.054805640806755034,-0.0007477624579474067,-0.02471687446725775,-0.0,0.481461455939499,0.0,-0.0,0.0,-0.05848416341600758,-0.00024394177703888445,-0.049905153434539565,0.0,-0.008878463790230832
P07,0.0,-0.0,0.0,0.0,0.0,0.0,0.6275036346844636,-0.0,0.0,0.0,0.0,0.0,0.0,-0.01928531379509974
P08,-0.09585172743786766,0.0,-0.0,0.0,0.0,-0.02256539804975707,0.0,0.5503903580636185,-0.01757221438134049,-0.04165571003842124,-0.06988296152483725,0.0,-0.0,0.0
C01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011352549957803415,0.5572825966157652,0.0,0.0,0.0,0.0,-1.526028286492023e-05
C02,-0.037128065915764785,0.0,0.0,0.0,-0.14114055142348453,-0.0009234713972558859,0.0,-0.003398824698565155,0.0,0.41296504941777556,-0.10824932080759554,0.0,0.0,0.0
C03,0.0,0.0,-0.02278163199865074,-0.007715716997166463,-0.058951300440370245,-0.0,0.0,0.0,0.0,0.0,0.6339447219615898,0.0,0.0,0.0
C04,-0.0,0.0,0.0,0.0,0.0,-0.06280908539480606,0.0,0.0,-0.04474007725828041,0.0,0.0,0.4662778783830158,-0.18158142224574153,0.03899987137598922
C05,0.0,-0.2973132672515838,0.0,0.0,-0.028601681252380325,0.0,0.0,-0.0,0.0,0.0,-0.08591667963037743,-0.007676580582626001,0.20584343580221437,0.0
C06,0.0,0.0,0.0,-0.07100814629813927,0.0,0.0,-0.18144015079121212,0.0,-0.01092692277666171,0.0,0.0,0.0,-0.04219614950178355,0.3767425707218689
