dst,src,max_abs_delta_adj,argmax_delta_time_index,argmax_delta_t,range,slope,mean,sd,min,max
C05,P04,0.022919411850702356,1,0.05263157894736842,0.10620797116940103,0.0717950518292804,-0.01526172944769522,0.030801342280336323,-0.10620797116940103,0.0
C05,P06,0.02271204747145711,13,0.6842105263157894,0.1338697998562079,-0.17106308059089848,0.06991148495716354,0.055326143785681625,0.0,0.1338697998562079
P04,P07,0.017612577332195286,17,0.894736842105263,0.12072583386974527,-0.09163249312608618,0.07849526497839425,0.03982213590777612,0.0,0.12072583386974527
P05,P08,0.014905801689272944,14,0.7368421052631579,0.08768866459948177,-0.07225950286544935,-0.016438713075008424,0.027866842927789775,-0.08768866459948177,0.0
C02,P03,0.013254305106948541,4,0.21052631578947367,0.10803001962230056,0.12465307866692912,0.06901445978445371,0.04054623667491692,0.0,0.10803001962230056
C04,C06,0.013221540828987764,11,0.5789473684210527,0.14700386107655894,0.16631372319552087,0.059818243779046855,0.05127066449445448,0.0,0.14700386107655894
P03,C03,0.012672834122870335,9,0.47368421052631576,0.06375066369094032,0.07945577354676743,0.025349684828596626,0.02537349003168069,0.0,0.06375066369094032
C05,C06,0.012005745473966885,8,0.42105263157894735,0.06477462764227257,-0.07862661920255,0.02163562225147602,0.02644684147104327,0.0,0.06477462764227257
C05,C02,0.011943667356486137,1,0.05263157894736842,0.11158154255371798,-0.1074473222907966,0.09375182304800712,0.03445215733535193,0.055985506318598874,0.16756704887231685
C04,C03,0.010979725262896303,7,0.3684210526315789,0.08535962299151705,0.10698166650000668,0.039945248509709215,0.03333249617800164,0.0,0.08535962299151705
P08,P02,0.010538236504701237,18,0.9473684210526315,0.022465777961703452,0.009534819045267371,0.001842193008684076,0.0054576987648705,-0.0,0.022465777961703452
C06,P07,0.010399576847564516,16,0.8421052631578947,0.06544198630594436,-0.05498491181302307,-0.012679979691700417,0.020850365300314436,-0.06544198630594436,-0.0
P05,P06,0.01030529533685275,9,0.47368421052631576,0.041354590852294947,0.051756650240154876,-0.014769823787607625,0.017383361179192598,-0.041354590852294947,-0.0
P02,C06,0.009738331757316244,18,0.9473684210526315,0.024736821052661447,0.011486820840724263,0.0022504020747981185,0.006178603675849863,0.0,0.024736821052661447
C04,C05,0.00966604198289641,11,0.5789473684210527,0.05460581064569948,-0.05763152899445258,-0.015443201067704465,0.01937199333666029,-0.05460581064569948,-0.0
P04,P06,0.00953652934289425,10,0.5263157894736842,0.05061294467262093,0.06566240241506603,-0.020404242208409078,0.021231413775901077,-0.05061294467262093,-0.0
P04,C01,0.00913293997648423,13,0.6842105263157894,0.05585332749104532,0.05309560463123556,0.01277708773511069,0.019280680488978654,0.0,0.05585332749104532
C02,P05,0.00901730428936897,17,0.894736842105263,0.029922817769232685,-0.017220313074425612,-0.0035025773035249224,0.008184100809180557,-0.029922817769232685,-0.0
P01,C03,0.008979575415904372,13,0.6842105263157894,0.06267819084918295,0.06018013205616636,0.014861383158385746,0.021348550908681558,0.0,0.06267819084918295
C06,P08,0.008702288952015413,17,0.894736842105263,0.024366922998128617,0.012573590858477842,0.0024966071880505947,0.006438055856793684,-0.0,0.024366922998128617
P03,C02,0.007690573699107282,12,0.631578947368421,0.06540906007469117,0.06894346198227944,0.018509296756786177,0.023127489974918307,0.0,0.06540906007469117
C05,C03,0.0070589929317752065,16,0.8421052631578947,0.025321395637453323,-0.016101246903490074,-0.00333991072483749,0.007285874873094359,-0.025321395637453323,-0.0
C04,P02,0.0067023727391892825,11,0.5789473684210527,0.009907564430437167,-0.002492312220990191,0.0025855617456258797,0.003882493658830304,0.0,0.009907564430437167
P02,P03,0.006531397314090779,18,0.9473684210526315,0.018936891134676247,-0.00952482398736456,-0.0018856112762418741,0.004924842202107654,-0.018936891134676247,-0.0
P06,C02,0.0063074900883120545,19,1.0,0.02063689455069102,-0.01130376699401073,-0.0022831122840087682,0.005482228171846982,-0.02063689455069102,-0.0
P08,P01,0.005900313688482311,19,1.0,0.011678655336142041,-0.0045732322770987745,-0.0008728498491900886,0.0027797741407608527,-0.011678655336142041,0.0
C02,P08,0.005675716370623665,2,0.10526315789473684,0.011584560082609639,0.004850031572307475,-0.0009346025420095963,0.002811560818045897,-0.011584560082609639,0.0
P02,P05,0.0056270469319309535,8,0.42105263157894735,0.017468586504775854,0.020891754426701634,0.008764596403155946,0.007336932874785093,0.0,0.017468586504775854
P01,P05,0.0053780409734571445,19,1.0,0.00704462709427443,-0.002316855412072972,-0.0004355606607545857,0.0015590063888827842,-0.00704462709427443,-0.0
P07,C01,0.004410850322194366,13,0.6842105263157894,0.023494384042991867,0.0248207008739092,0.006268737452829243,0.008701289146111797,0.0,0.023494384042991867
P03,P07,0.00426574267688252,19,1.0,0.006030814206951771,0.002065595513475156,0.00038979428685105105,0.0013499519581043973,0.0,0.006030814206951771
C05,P02,0.0037859855294630484,13,0.6842105263157894,0.014835479624323772,-0.009795279546693045,-0.20585983932936625,0.004372472077925968,-0.21329563475800908,-0.1984601551336853
P08,C02,0.003199560059086048,17,0.894736842105263,0.005399932000784023,-0.0037786275333888822,-0.0007813609539879252,0.0017551123242035903,-0.005399932000784023,-0.0
P03,C01,0.001928521742153536,19,1.0,0.002596173451543781,0.0008668196376995143,0.00016319125804670128,0.0005767689165296256,-0.0,0.002596173451543781
P04,C02,0.0018176656454856562,14,0.7368421052631579,0.0048895138228579795,0.005476818551130734,0.0013887745503453517,0.0020018981645363544,0.0,0.0048895138228579795
C03,P05,0.001459931998646881,19,1.0,0.001459931998646881,-0.000396267256775582,-7.299659993234404e-05,0.0003181848023271556,-0.001459931998646881,0.0
P05,C05,0.000989766145318119,1,0.05263157894736842,0.000989766145318119,0.0002686508108720608,-4.9488307265905954e-05,0.00021571453025897368,-0.000989766145318119,-0.0
C01,P03,0.0008013758608979015,19,1.0,0.001877297826065081,0.001429281422754059,0.0004158507452324766,0.0006835911949580647,0.0,0.001877297826065081
P01,P02,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
P01,P03,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
P01,P04,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,0.0
P01,P06,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,-0.0
P01,P07,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
P01,P08,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,0.0
P01,C01,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,0.0
P01,C02,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,0.0
P01,C04,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,0.0
P01,C05,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,0.0
P01,C06,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,-0.0
P02,P01,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
P02,P04,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,0.0
P02,P06,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,-0.0
P02,P07,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,0.0
P02,P08,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
P02,C01,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
P02,C02,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,0.0
P02,C03,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
P02,C04,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
P02,C05,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,-0.0
P03,P01,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
P03,P02,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,0.0
P03,P04,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
P03,P05,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,-0.0
P03,P06,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,-0.0
P03,P08,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,0.0
P03,C04,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,0.0
P03,C05,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,-0.0
P03,C06,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,-0.0
P04,P01,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,0.0
P04,P02,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
P04,P03,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
P04,P05,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
P04,P08,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
P04,C03,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
P04,C04,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
P04,C05,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,-0.0
P04,C06,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,-0.0
P05,P01,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,0.0
P05,P02,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
P05,P03,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,0.0
P05,P04,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,0.0
P05,P07,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
P05,C01,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,0.0
P05,C02,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,0.0
P05,C03,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,-0.0
P05,C04,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
P05,C06,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,0.0
P06,P01,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,-0.0
P06,P02,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,-0.0
P06,P03,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,-0.0
P06,P04,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,-0.0
P06,P05,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,0.0
P06,P07,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,0.0
P06,P08,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,-0.0
P06,C01,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
P06,C03,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,-0.0
P06,C04,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,-0.0
P06,C05,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
P06,C06,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,-0.0
P07,P01,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
P07,P02,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
P07,P03,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
P07,P04,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
P07,P05,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
P07,P06,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,0.0
P07,P08,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,-0.0
P07,C02,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
P07,C03,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
P07,C04,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,-0.0,0.0
