time_index,t,dst,src,beta,ci_low,ci_high
0,0.0,P01,P01,0.6478969537972848,0.5059905084481937,0.7583890932253696
0,0.0,P01,P02,0.0,0.0,0.022267854063487795
0,0.0,P01,P03,0.0,0.0,0.008191903428470721
0,0.0,P01,P04,0.0,0.0,0.0
0,0.0,P01,P05,-0.0,0.0,0.0
0,0.0,P01,P06,-0.0,-0.053316272143865084,0.0
0,0.0,P01,P07,0.0,0.0,0.0
0,0.0,P01,P08,0.0,-0.0,0.03727999749333857
0,0.0,P01,C01,0.0,0.0,0.0
0,0.0,P01,C02,-0.0,0.0,0.0
0,0.0,P01,C03,0.0,0.0,0.0
0,0.0,P01,C04,-0.0,-0.00030897396074099494,0.0
0,0.0,P01,C05,-0.0,-0.0,0.0
0,0.0,P01,C06,-0.0,-0.05251683919464646,0.0
0,0.0,P02,P01,0.0,0.0,0.009528474680665006
0,0.0,P02,P02,0.7141804200878484,0.5009454173675897,0.8380601679702836
0,0.0,P02,P03,-0.0,-0.0,0.0
0,0.0,P02,P04,0.0,0.0,0.0
0,0.0,P02,P05,0.0,0.0,0.0060507854214109065
0,0.0,P02,P06,-0.0,-0.04096316651842358,0.0
0,0.0,P02,P07,0.0,0.0,0.0
0,0.0,P02,P08,0.0,0.0,0.02628123391044835
0,0.0,P02,C01,0.0,0.0,0.0001873046969129084
0,0.0,P02,C02,0.0,0.0,0.0
0,0.0,P02,C03,0.0,0.0,0.0
0,0.0,P02,C04,0.0,0.0,0.0
0,0.0,P02,C05,-0.0,-0.0,0.0
0,0.0,P02,C06,0.0,0.0,0.01659667366123085
0,0.0,P03,P01,0.0,0.0,0.13792791299430862
0,0.0,P03,P02,-0.0,0.0,0.0
0,0.0,P03,P03,0.6173023775475903,0.43355447341724973,0.6932103851041529
0,0.0,P03,P04,0.0,0.0,0.0
0,0.0,P03,P05,-0.0,-0.0,0.0
0,0.0,P03,P06,-0.0,0.0,0.0
0,0.0,P03,P07,0.0,0.0,0.0010501593603265856
0,0.0,P03,P08,0.0,0.0,0.08815371885880648
0,0.0,P03,C01,-0.0,0.0,0.0
0,0.0,P03,C02,0.0,0.0,0.026586440912667177
0,0.0,P03,C03,0.0,0.0,0.019384642504823364
0,0.0,P03,C04,-0.0,-0.0,0.0
0,0.0,P03,C05,-0.0,-0.0,0.0
0,0.0,P03,C06,-0.0,0.0,0.0
0,0.0,P04,P01,0.0,0.0,0.0
0,0.0,P04,P02,0.0,0.0,0.035678593968002464
0,0.0,P04,P03,0.0,0.0,0.0050176591681054174
0,0.0,P04,P04,0.5553478947114417,0.4089310812945279,0.6436942903087417
0,0.0,P04,P05,0.0,0.0,0.0
0,0.0,P04,P06,-0.049846970072809055,-0.08675567217122314,0.0
0,0.0,P04,P07,0.06557071888496033,0.0,0.1719659418352708
0,0.0,P04,P08,0.0,0.0,0.04717204081901361
0,0.0,P04,C01,0.0,0.0,0.00014328158092439546
0,0.0,P04,C02,0.0,0.0,0.0048681156127868995
0,0.0,P04,C03,0.0,0.0,0.00995489376075
0,0.0,P04,C04,0.0,0.0,0.0009047682946842594
0,0.0,P04,C05,-0.0,-0.0289869992429698,0.0
0,0.0,P04,C06,-0.0,-0.00031245800084722485,0.0
0,0.0,P05,P01,0.0,0.0,0.019333870803891897
0,0.0,P05,P02,0.0,0.0,0.012539171113736751
0,0.0,P05,P03,0.0,0.0,0.0
0,0.0,P05,P04,0.0,0.0,0.0
0,0.0,P05,P05,0.5862177965375324,0.4369149583071177,0.6844080934450832
0,0.0,P05,P06,-0.038211800804346434,-0.11098321438406861,0.0
0,0.0,P05,P07,0.0,0.0,0.021181618087360403
0,0.0,P05,P08,0.0,0.0,0.0
0,0.0,P05,C01,-0.0,-0.0,0.0
0,0.0,P05,C02,0.0,0.0,0.0
0,0.0,P05,C03,-0.0,-0.0,0.0
0,0.0,P05,C04,0.0,0.0,0.0
0,0.0,P05,C05,-0.000989766145318119,-0.06701119442590572,0.0
0,0.0,P05,C06,0.0,0.0,0.0
0,0.0,P06,P01,-0.0,-0.0,0.0
0,0.0,P06,P02,-0.0,-0.0,0.0
0,0.0,P06,P03,-0.0,-0.0,0.0
0,0.0,P06,P04,-0.0,-0.0,0.0
0,0.0,P06,P05,-0.0,-0.0012682162525805953,0.0
0,0.0,P06,P06,0.8631198393196292,0.7790878912146312,0.8959737315053087
0,0.0,P06,P07,-0.0,-0.0,0.0
0,0.0,P06,P08,-0.0,-0.00018837110733193157,0.0
0,0.0,P06,C01,0.0,0.0,0.0
0,0.0,P06,C02,-0.0,-0.0,0.0
0,0.0,P06,C03,-0.0,0.0,0.0
0,0.0,P06,C04,-0.0,-0.013280586413790638,0.0
0,0.0,P06,C05,0.0,0.0,0.0030609554819932025
0,0.0,P06,C06,-0.0,-0.0,0.0
0,0.0,P07,P01,0.0,0.0,0.0
0,0.0,P07,P02,0.0,0.0,0.0011271702006417418
0,0.0,P07,P03,0.0,0.0,0.0
0,0.0,P07,P04,0.0,0.0,0.0362645736804439
0,0.0,P07,P05,0.0,0.0,0.0
0,0.0,P07,P06,-0.0,-0.03450003094849718,0.0
0,0.0,P07,P07,0.6212994251987036,0.4481501979902962,0.7803818362784105
0,0.0,P07,P08,-0.0,-0.0,0.0
0,0.0,P07,C01,0.0,0.0,0.011772362880188023
0,0.0,P07,C02,0.0,0.0,0.021050407951411856
0,0.0,P07,C03,0.0,0.0,0.0
0,0.0,P07,C04,0.0,0.0,0.0
0,0.0,P07,C05,-0.0,-0.0,0.0
0,0.0,P07,C06,-0.0,-0.0,0.0
0,0.0,P08,P01,0.0,0.0,0.0
0,0.0,P08,P02,-0.0,0.0,0.0
0,0.0,P08,P03,0.0,0.0,0.0
0,0.0,P08,P04,0.0,0.0,0.0011062507677967394
0,0.0,P08,P05,0.0,0.0,0.026276396720124242
0,0.0,P08,P06,-0.0,-0.04375837097318533,0.0
0,0.0,P08,P07,0.0,0.0,0.0
0,0.0,P08,P08,0.7771524233985924,0.6467011237584177,0.829834247239909
0,0.0,P08,C01,-0.0,0.0,0.0
0,0.0,P08,C02,-0.0,-0.0,0.0
0,0.0,P08,C03,0.0,0.0,0.0
0,0.0,P08,C04,0.0,0.0,0.0
0,0.0,P08,C05,-0.0,0.0,0.0
0,0.0,P08,C06,-0.0,-0.006065073171764824,0.0
0,0.0,C01,P01,0.0,0.0,0.0
0,0.0,C01,P02,0.0,0.0,0.0
0,0.0,C01,P03,0.0,0.0,0.0
0,0.0,C01,P04,-0.0,0.0,0.0
0,0.0,C01,P05,-0.0,-0.0,0.0
0,0.0,C01,P06,0.0,0.0,0.041630522162787176
0,0.0,C01,P07,0.0,0.0,0.0
0,0.0,C01,P08,-0.0,-0.026328429292812365,0.0
0,0.0,C01,C01,0.6432510053564008,0.5709544049992656,0.7773728243798882
0,0.0,C01,C02,0.0,0.0,0.03702678781311686
