,P01,P02,P03,P04,P05,P06,P07,P08,C01,C02,C03,C04,C05,C06
P01,0.22860074885290124,0.011963265444747594,0.03837157547273824,-0.025496254946591378,0.023184081394749825,0.030755139694368435,0.03002904297609619,0.028368298268417608,0.017708468611480052,0.001499739295614922,0.02985541667423433,0.011476712168371926,-0.04800385365404317,0.03926881519004067
P02,0.011963265444747594,0.19251706270099692,-0.010238758823722846,-0.00912265297332274,-0.0016131705039012718,0.019163159167271814,-0.027836206719265243,-0.014358787424084725,-0.0043330105032827245,0.0011665505450332869,-0.019509706823892116,-0.03382858144245406,0.000990527532174508,0.011048818111107734
P03,0.03837157547273824,-0.010238758823722846,0.2644107559647047,0.0017087263273709383,0.040681043812453986,0.01199962664592773,0.036080252380589484,-0.010119996651153982,-0.0052467483791445516,0.03304488764986451,0.02983793776110614,-0.017668944762880924,0.004450395075086851,-0.060307489766316995
P04,-0.025496254946591378,-0.00912265297332274,0.0017087263273709383,0.17560949086050606,0.021487962607537617,0.0010245545166857651,0.02721853951820561,0.01529389496813066,0.01850244454211776,-0.006906875718550587,-0.008290964144264982,0.006178606251003757,-0.031583215704535234,-0.004385523935158131
P05,0.023184081394749825,-0.0016131705039012718,0.040681043812453986,0.021487962607537617,0.24752261937158537,0.014968204952837605,0.022812748824967744,0.01542049847289853,-0.013812748133135863,-0.05145015993436617,0.020365330453534905,-0.03689862774566824,-0.06561079152493947,-0.006533295153530816
P06,0.030755139694368435,0.019163159167271814,0.01199962664592773,0.0010245545166857651,0.014968204952837605,0.08940301758792762,0.010374451264077555,0.001055776792283899,-0.008777654288145448,0.014670778599247716,0.004401945954690866,0.02385447034477439,0.0024621112928734194,-0.004531187083310147
P07,0.03002904297609619,-0.027836206719265243,0.036080252380589484,0.02721853951820561,0.022812748824967744,0.010374451264077555,0.18065627046947053,0.005641303386187792,-0.010284688519123968,0.034684139064828846,0.019118895382032222,-0.032693285786823435,-0.014876045686983905,0.00392621875649855
P08,0.028368298268417608,-0.014358787424084725,-0.010119996651153982,0.01529389496813066,0.01542049847289853,0.001055776792283899,0.005641303386187792,0.3125361690507997,0.0066300147389254955,-0.022094746778144388,-0.0138067915098931,-0.02180967041498019,-0.0930699038877803,-0.0442092158547914
C01,0.017708468611480052,-0.0043330105032827245,-0.0052467483791445516,0.01850244454211776,-0.013812748133135863,-0.008777654288145448,-0.010284688519123968,0.0066300147389254955,0.15806199017894537,0.030111930748604215,0.027402185578021872,0.0357785420219705,0.027795905643735356,0.03351887154742712
C02,0.001499739295614922,0.0011665505450332869,0.03304488764986451,-0.006906875718550587,-0.05145015993436617,0.014670778599247716,0.034684139064828846,-0.022094746778144388,0.030111930748604215,0.3662472196137907,0.011635905161291722,0.002411034075537333,-0.010538403899447914,0.16195993472281947
C03,0.02985541667423433,-0.019509706823892116,0.02983793776110614,-0.008290964144264982,0.020365330453534905,0.004401945954690866,0.019118895382032222,-0.0138067915098931,0.027402185578021872,0.011635905161291722,0.15925949073160378,0.01928188402837961,0.021908041007995458,0.05961410609426932
C04,0.011476712168371926,-0.03382858144245406,-0.017668944762880924,0.006178606251003757,-0.03689862774566824,0.02385447034477439,-0.032693285786823435,-0.02180967041498019,0.0357785420219705,0.002411034075537333,0.01928188402837961,0.3130966044148309,0.01159728521811903,0.0508232350552424
C05,-0.04800385365404317,0.000990527532174508,0.004450395075086851,-0.031583215704535234,-0.06561079152493947,0.0024621112928734194,-0.014876045686983905,-0.0930699038877803,0.027795905643735356,-0.010538403899447914,0.021908041007995458,0.01159728521811903,0.4318369712518063,0.045784766033360305
C06,0.03926881519004067,0.011048818111107734,-0.060307489766316995,-0.004385523935158131,-0.006533295153530816,-0.004531187083310147,0.00392621875649855,-0.0442092158547914,0.03351887154742712,0.16195993472281947,0.05961410609426932,0.0508232350552424,0.045784766033360305,0.4356484762604673
