,P01,P02,P03,P04,P05,P06,P07,P08,C01,C02,C03,C04,C05,C06
P01,0.8403145400170543,0.0,0.0,0.0,0.010272903149613304,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
P02,0.0,0.7581247406543199,-0.0,0.0,0.0,-0.0,0.01485133758653096,0.0,-0.0,0.0,0.0,0.030660173240549954,0.0,0.0
P03,0.0,-0.0,0.797970296471105,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0337585074630129,-0.0,-0.0
P04,0.008106823633640752,0.0,0.0,0.8060000932304148,0.0,-0.0,0.0,0.0,0.0,0.02753321029054311,0.0,0.0,0.015370673554808015,0.0
P05,0.0,0.04101800302606371,0.0,0.0,0.7434253632017106,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
P06,0.0,0.0,-0.0,-0.0,0.0,0.6964648902836109,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.06148426016284731,0.0
P07,0.0,0.0,0.0,-0.0,0.02721711504781693,0.0,0.7914554140144409,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
P08,0.054146043332931354,0.0,0.0,0.0,0.0,-0.0,0.0,0.7210694582870529,-0.0,0.0,-0.0,-0.0,0.0,-0.0
C01,-0.0,-0.0,-0.013669342113025697,-0.0,-0.0,0.0,-0.0,-0.0,0.8171824843807066,-0.0,-0.0,0.0,0.0,0.0
C02,0.029799707932468767,0.0,-0.0,0.0,0.0,0.0,0.018872497436305365,0.023316792312552348,0.0,0.7138602924290947,-0.0,0.0,0.0,0.062132219765953615
C03,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.015050919682533024,0.0,0.0,0.0,0.4581042236836578,-0.016834742077184103,0.0,0.0795715681262421
C04,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.8148215504410018,0.0,0.010434876004185587
C05,0.11320682059674873,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.7507725949619699,0.0
C06,0.0,0.0,-0.0,0.0,0.01821463168707223,0.0,0.04397340736855874,0.0,0.0,0.0,-0.0,0.009212088310966846,0.0,0.7829512511194874
