,P01,P02,P03,P04,P05,P06,P07,P08,C01,C02,C03,C04,C05,C06
P01,0.9999999999999998,0.4806059228007598,0.23433376836209618,0.6440886052674832,0.5513454906780298,0.1791109628658248,0.5774425208794335,0.6471240647295925,-0.1626149332307046,0.6801376421592717,-0.010099234339160266,0.10646952733044815,0.6852221343922565,0.5387200510602715
P02,0.4806059228007598,1.0,0.009039375491627788,0.33180627770588433,0.43930291338358024,-0.07276130698452252,0.394448583735996,0.3541462318998512,0.08250358870258175,0.5088726617187156,-0.1008637442644935,0.3638781305072596,0.18933876687506213,0.5129552737199918
P03,0.23433376836209616,0.009039375491627786,1.0,0.1422402025715589,0.30561675276742106,-0.09602708489691945,0.018855877721043798,0.27785138884956684,-0.3837322213228267,-0.045977327421286206,0.003242196730132493,-0.4655060226384927,0.19341847259407627,-0.10615033951921084
P04,0.6440886052674833,0.33180627770588433,0.14224020257155892,1.0,0.29079943157691546,0.029164756634608654,0.27578234931717105,0.5231779810598013,-0.12865701669250681,0.4583754595678924,-0.08395371590266186,0.1510279246287057,0.6461850894957767,0.2849401177103575
P05,0.5513454906780298,0.43930291338358024,0.30561675276742106,0.2907994315769154,1.0,-0.04044602359096339,0.4137639362635243,0.5238480064230451,-0.11290126800207852,0.5007060522784685,-0.06528436940026296,0.02039128416720015,0.30038333076341034,0.39755074448992117
P06,0.1791109628658248,-0.07276130698452252,-0.09602708489691945,0.029164756634608657,-0.04044602359096339,1.0,0.230502312470006,-0.1702732824730524,-0.03023144742161683,0.15967849021286068,0.18466220640689923,0.24296664050152,0.31075516539385967,0.19691168177273596
P07,0.5774425208794334,0.39444858373599595,0.018855877721043794,0.27578234931717105,0.4137639362635243,0.230502312470006,1.0,0.3442384136761854,-0.017822856119037684,0.6122512150312522,0.10170041450770696,0.22085368895172325,0.31954915162379777,0.5235764999746243
P08,0.6471240647295925,0.3541462318998512,0.2778513888495668,0.5231779810598013,0.5238480064230451,-0.1702732824730524,0.3442384136761854,1.0,-0.058765339062757764,0.42657701566813166,-0.06913997673073853,-0.10836543651196565,0.4803858266123056,0.28330648508348594
C01,-0.16261493323070458,0.08250358870258175,-0.38373222132282675,-0.12865701669250681,-0.11290126800207852,-0.030231447421616826,-0.017822856119037684,-0.058765339062757764,1.0,0.03666221101640208,0.1096639800683982,0.17400346780257958,-0.06264873912579995,0.11888520783971318
C02,0.6801376421592717,0.5088726617187156,-0.045977327421286206,0.45837545956789244,0.5007060522784685,0.15967849021286068,0.6122512150312522,0.42657701566813166,0.03666221101640208,1.0,0.18097919234612342,0.3408440726044698,0.44244270342887476,0.6186231928950788
C03,-0.010099234339160264,-0.10086374426449352,0.003242196730132493,-0.08395371590266186,-0.06528436940026296,0.18466220640689923,0.10170041450770696,-0.06913997673073853,0.1096639800683982,0.18097919234612342,1.0,0.10187198831986129,0.13836468419030473,0.18841583467267856
C04,0.10646952733044815,0.36387813050725965,-0.4655060226384927,0.1510279246287057,0.02039128416720015,0.24296664050152,0.22085368895172325,-0.10836543651196565,0.17400346780257958,0.3408440726044698,0.10187198831986129,1.0,0.05966926092028447,0.4738414330313512
C05,0.6852221343922565,0.18933876687506213,0.19341847259407627,0.6461850894957768,0.30038333076341034,0.31075516539385967,0.31954915162379777,0.4803858266123056,-0.06264873912579995,0.4424427034288748,0.13836468419030473,0.05966926092028446,1.0,0.37612215125728754
C06,0.5387200510602715,0.5129552737199918,-0.10615033951921084,0.2849401177103575,0.39755074448992117,0.19691168177273596,0.5235764999746243,0.28330648508348594,0.11888520783971318,0.6186231928950788,0.18841583467267856,0.4738414330313512,0.37612215125728754,1.0
