,P01,P02,P03,P04,P05,P06,P07,P08,C01,C02,C03,C04,C05,C06
P01,1.0,0.14466742328162727,0.0785039067938858,0.19589896115071836,0.08094767954372879,0.13265551866280456,0.19858010593301734,0.2551346985473403,-0.15694384080075974,0.2505358177753517,-0.1252077035090028,-0.10377521944484133,0.30005226020964026,0.16122842356524264
P02,0.14466742328162735,1.0,0.09941814021423549,0.05489329536758303,0.12552526516411508,-0.1558035738138901,0.045564233203908504,0.03740949286387795,0.12064086578884216,0.1100669159084509,-0.15651625577449066,0.2532075983566304,-0.12978390898256204,0.17507090152748644
P03,0.07850390679388576,0.09941814021423537,1.0,0.02899298397056076,0.2304045908945848,-0.015323736198177068,-0.023049893745601947,0.03192531341680497,-0.29516986903440484,-0.15710938529234994,0.15285260554779975,-0.35559519289223046,0.0665992142888271,-0.0411178421512322
P04,0.19589896115071834,0.05489329536758299,0.028992983970560778,1.0,-0.1152412374228637,-0.1515373728811434,-0.06604251761781729,0.15267029900187518,-0.08804853123573497,0.12894511324076316,-0.14483065971392925,0.1865211285888176,0.4006644973202028,-0.11699280908415159
P05,0.08094767954372892,0.12552526516411497,0.2304045908945847,-0.11524123742286377,1.0,-0.038020498288546964,0.06273125539739036,0.2127511229883666,-0.03681983675170572,0.20083111940670864,-0.11913369753928525,-0.01731491170366601,-0.01927897128253174,0.11220482590743584
P06,0.13265551866280456,-0.1558035738138901,-0.015323736198177057,-0.15153737288114347,-0.03802049828854694,1.0,0.15914957948947916,-0.27102874857276177,-0.0467683197068188,-0.005225136654811483,0.04286166910218071,0.17763838401069307,0.30174330583507664,-0.0017148381805827436
P07,0.19858010593301742,0.045564233203908504,-0.02304989374560196,-0.06604251761781739,0.06273125539739036,0.15914957948947914,1.0,0.054015635491072606,-0.013602877308862614,0.2352231989095024,0.025666048146764407,-0.017350292445910832,-0.09116646938829676,0.14127477447849437
P08,0.25513469854734017,0.037409492863878006,0.031925313416805,0.15267029900187518,0.21275112298836654,-0.27102874857276166,0.054015635491072654,1.0,0.0928445396796519,0.008311701187414814,-0.014156276365142712,-0.14224315371436053,0.12803127051683194,-0.01900005577448572
C01,-0.15694384080075965,0.1206408657888421,-0.2951698690344048,-0.088048531235735,-0.03681983675170572,-0.046768319706818835,-0.013602877308862628,0.09284453967965195,1.0,0.030317156378401645,0.08164891046791181,-0.034078545285588964,0.09735088133588475,0.08431527597488599
C02,0.2505358177753517,0.1100669159084509,-0.15710938529235,0.1289451132407633,0.20083111940670875,-0.0052251366548114455,0.2352231989095024,0.008311701187414743,0.030317156378401693,1.0,0.22485504211519045,0.08403502206172302,-0.022390618919001196,0.13363645053436576
C03,-0.12520770350900276,-0.1565162557744907,0.15285260554779972,-0.14483065971392925,-0.11913369753928527,0.042861669102180734,0.02566604814676442,-0.01415627636514265,0.08164891046791181,0.2248550421151904,1.0,0.04965832326127223,0.15515740906042075,0.1389828865072216
C04,-0.10377521944484133,0.2532075983566304,-0.3555951928922306,0.18652112858881748,-0.01731491170366605,0.17763838401069307,-0.01735029244591083,-0.14224315371436044,-0.03407854528558909,0.08403502206172295,0.049658323261272216,1.0,-0.06703838900224429,0.28464373227212947
C05,0.30005226020964015,-0.12978390898256195,0.0665992142888271,0.4006644973202029,-0.019278971282531768,0.30174330583507664,-0.0911664693882968,0.12803127051683189,0.09735088133588471,-0.022390618919001078,0.15515740906042075,-0.06703838900224439,1.0,0.11217193820377963
C06,0.16122842356524253,0.1750709015274864,-0.04111784215123214,-0.11699280908415158,0.11220482590743586,-0.0017148381805827972,0.14127477447849443,-0.019000055774485772,0.084315275974886,0.13363645053436596,0.13898288650722154,0.28464373227212947,0.11217193820377963,1.0
