,P01,P02,P03,P04,P05,P06,P07,P08,C01,C02,C03,C04,C05,C06
P01,0.8179572030746898,0.06608105146286355,0.0732248406102531,0.012454198623192369,0.16799414522673578,0.01900421011250812,0.0,0.13127089557157715,0.0,0.014569962232083004,0.005839368232829211,0.0,0.0,0.01536937684041629
P02,0.1172011765476568,0.7175819242170093,0.0033411197864943497,0.14095334976577348,0.0,0.024610159239123342,0.007545733930257266,0.2211271874321429,0.0,0.0,0.0,0.0,0.0,0.0
P03,0.032315315994989,0.0,0.885233526478841,0.10529571839776566,0.0,0.0,0.0,0.0,0.010834462175568148,0.0,0.0,0.013426240249169248,0.0,0.0
P04,0.0648045628511141,0.028125482847131046,0.0,0.7605278337854346,0.0,0.18625325974968093,0.0,0.005442350153719877,0.0,0.0,0.0,0.0,0.0,0.0
P05,0.0602864060643962,0.0,0.0,0.06704060809210692,0.8275534283144343,0.10940624842139536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10107075122489191
P06,0.05752326414802578,0.07938954159461659,0.014870956350204002,0.018925607512835434,0.048680777024576086,0.8204147209021475,0.0,0.014448866578768406,0.0,0.0,0.0,0.0,0.0,0.0
P07,0.0,0.0,0.11259778362477656,0.0,0.0,0.0,0.8325089573201708,0.0,0.05677714751455148,0.0,0.0,0.0,0.0,0.0
P08,0.037193950614956235,0.030254783806203913,0.11566341970914593,0.11426779428943024,0.06970134657250698,0.04149395519011269,0.0,0.6533283456517783,0.0,0.0,0.02408928391543577,0.0,0.0,0.005803526368223888
C01,0.0,0.0,0.0,0.0,0.0,0.0,0.015691188847028806,0.0,0.8591540466195284,0.12671322044240899,0.05903127591643496,0.0,0.0,0.0
C02,0.0,0.0,0.05284023618474483,0.0,0.0,0.0,0.040143007878729244,0.0,0.016991056253824705,0.7918527045912059,0.016267639003718262,0.07346819432179161,0.0,0.21639537113026572
C03,0.0,0.0,0.0029011416455503236,0.0,0.04764289369016307,0.03454714458226153,0.0,0.0,0.0,0.0,0.796008766847247,0.029208528527065816,0.0,0.14296232599159947
C04,0.03569764484685001,0.0,0.0,0.0,0.0,0.05396014965794971,0.0,0.0,0.028964746872286635,0.058711292948465874,0.0005160810333085482,0.8420002862980709,0.0,0.0849789335979274
C05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022332847083770098,0.0,0.0,0.04593770169191881,0.8492620872453182,0.024295580674241264
C06,0.0,0.0,0.01969459423080284,0.06481328055107775,0.0,0.0,0.0,0.0,0.0,0.03591715465780175,0.0,0.08283796477937909,0.0,0.8721294973513396
