,P01,P02,P03,P04,P05,P06,P07,P08,C01,C02,C03,C04,C05,C06
P01,1.0,0.05810727533657482,0.07080233688377577,-0.03921579021093009,-0.07157382408774267,0.08913251747355275,-0.17932187581279413,-0.1106149054122781,-0.18137456925164447,-0.021642498611931696,-0.05381742664634175,0.12258149665764193,-0.08816744403121098,0.006475821006255803
P02,0.05810727533657482,1.0,0.021161673609305178,0.18246097651827828,-0.031226452424343274,0.11799189517234565,0.03599347084938285,0.15261985893803764,0.22863737759406108,-0.15204609155878487,-0.1316380510994011,-0.14044180314339988,0.10554376736235786,0.2059964357446838
P03,0.07080233688377573,0.021161673609305206,1.0,0.07118597261295803,0.03686490363447646,-0.1992301786167374,0.17900901872844385,0.2457153038896802,0.09776283625684531,-0.06079767601060674,-0.04283566564637084,0.056622699752218106,-0.10784541309149066,-0.051669969689608325
P04,-0.039215790210930045,0.18246097651827833,0.07118597261295807,1.0,0.07618071240493914,-0.08169173524571162,-0.0333606431136485,-0.10776015784151333,0.003138247007402394,-0.003009719280038682,-0.036042384617213485,0.13529615230287712,0.009978197569488664,-0.009708708785096247
P05,-0.07157382408774272,-0.031226452424343267,0.03686490363447646,0.07618071240493914,1.0,0.16296846104530155,-0.17897245096534928,0.21673042571825626,0.031777890749943145,-0.16924283852301322,0.11748952373765544,0.04035352211418599,0.26428583290731483,-0.0813742671208725
P06,0.08913251747355275,0.11799189517234566,-0.1992301786167373,-0.08169173524571159,0.16296846104530158,1.0,0.12890409349144166,-0.08176677176756757,-0.02321279785007584,-0.16442944232498424,0.18151999084265077,0.07009001519318833,-0.07860576317687662,0.048467889842865354
P07,-0.17932187581279416,0.03599347084938285,0.17900901872844385,-0.033360643113648523,-0.17897245096534925,0.12890409349144166,1.0,-0.08501141285355969,0.06376008510321111,-0.039737425700225745,-0.13479400764985533,0.05981947974756512,0.1427691315258731,-0.05002568100633246
P08,-0.11061490541227807,0.15261985893803764,0.24571530388968024,-0.10776015784151335,0.2167304257182563,-0.08176677176756755,-0.08501141285355969,1.0,-0.24685006373963794,0.04627378435532868,0.09238510101132764,0.07356474183813605,0.0950917114545715,-0.0714805301932156
C01,-0.18137456925164439,0.22863737759406105,0.0977628362568453,0.003138247007402402,0.03177789074994314,-0.02321279785007586,0.06376008510321113,-0.24685006373963794,1.0,0.2062954453023422,0.1416454459606753,0.1978610044691623,-0.18230245745758233,0.09005055642894279
C02,-0.02164249861193171,-0.15204609155878482,-0.06079767601060672,-0.003009719280038665,-0.16924283852301322,-0.16442944232498424,-0.03973742570022578,0.046273784355328695,0.20629544530234228,1.0,-0.07597752828522836,-0.010070461689305392,0.1036939330902126,0.16625783871899139
C03,-0.05381742664634173,-0.1316380510994011,-0.04283566564637079,-0.0360423846172135,0.11748952373765546,0.18151999084265075,-0.13479400764985533,0.09238510101132762,0.14164544596067527,-0.07597752828522829,1.0,-0.032128541120375644,0.03772738168595667,0.1196332372285369
C04,0.12258149665764188,-0.14044180314339985,0.05662269975221809,0.13529615230287712,0.04035352211418597,0.07009001519318836,0.059819479747565144,0.07356474183813602,0.19786100446916222,-0.010070461689305333,-0.03212854112037561,1.0,0.004169373642799651,0.2833933167598729
C05,-0.088167444031211,0.10554376736235788,-0.10784541309149064,0.009978197569488657,0.2642858329073148,-0.07860576317687656,0.14276913152587306,0.09509171145457149,-0.18230245745758236,0.10369393309021264,0.037727381685956664,0.004169373642799608,1.0,0.16302649649003756
C06,0.006475821006255764,0.20599643574468374,-0.051669969689608304,-0.009708708785096295,-0.08137426712087248,0.04846788984286537,-0.05002568100633246,-0.07148053019321558,0.09005055642894276,0.16625783871899127,0.11963323722853686,0.28339331675987295,0.16302649649003748,1.0
