,P01,P02,P03,P04,P05,P06,P07,P08,C01,C02,C03,C04,C05,C06
P01,0.7781049478895201,-0.0,0.0,0.027645105255081227,0.022637452128024434,-0.0,-0.0,0.027517834318037476,-0.0,-0.0,0.0,-0.007192889409050372,-0.06997407053705984,0.006285361037868019
P02,0.0,0.7266443009440938,0.0,0.0,0.0,0.0179303805770087,0.0,0.14499863935542545,-0.0,-0.0,0.0,-0.0008320762632977512,-0.012706892155164564,-0.0
P03,0.0,-0.0,0.8556007913712894,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.009230506700855639,-0.0
P04,0.0,0.04450378886922681,-0.0,0.7628765410067405,0.007110140952209305,0.0,-0.0,0.0,-0.0,-0.011698203955463587,0.0,-0.020919072019975712,-0.0,0.0
P05,0.0,0.0,-0.0,0.0,0.8374799402142137,0.05885970222628776,-0.0,0.0,-0.0,-0.0,0.01201962799609997,-0.0,-0.0,0.010772268962080805
P06,0.0,0.039361823941637425,-0.0,0.0,0.0,0.7601979926879717,-0.0,0.0,-0.0,-0.041935592563642404,0.0,-0.02027170923092909,-0.06650383010677056,-0.0
P07,-0.04967634386476159,-0.015047812522348379,0.029615737738822718,0.0078113659226985875,-0.0,-0.09372571346370309,0.7812868927725358,-0.0,0.02875914732333019,-0.0,0.06290985953716195,-0.05061326784096928,-0.07156867890440183,-0.11466278751353304
P08,-0.0255347356864291,0.06961236936775474,0.08715143276836107,0.009207436214506568,0.053240322362728944,0.043895835716631894,-0.026865681375730387,0.6344898497077242,0.0,0.0,0.12472997233107048,-0.02605646992713491,-0.016539245670163866,0.004660563544803826
C01,-0.021171446844082873,-0.01157085099481639,-0.021270973103687023,0.0,-0.0,-0.0,0.03231394109916483,-0.004212624947984733,0.8361606565741342,0.060721841258135456,0.05404559503275235,0.0,-0.012287108035561068,-0.0
C02,-0.0,-0.0,0.0,-0.0,-0.02775818108358418,-0.0,0.018913195510704476,-0.0,0.0,0.7414550267977156,0.0,0.05348147374776511,-0.0,0.06619326738313423
C03,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.8700470271539291,0.0,-0.0,0.05977885563808281
C04,0.0,-0.006834494809901862,-0.0,-0.0,-0.03340072773003604,0.0,-0.0,-0.0037518379774837247,0.0,0.017705176532788604,0.0,0.7991772696611997,-0.0,0.037880602393471734
C05,-0.02183750881547509,-0.0008929790595195814,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0021335753617363878,0.8643738048369113,0.0
C06,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.026896651379151926,0.0,0.8736300755480053
