,P01,P02,P03,P04,P05,P06,P07,P08,C01,C02,C03,C04,C05,C06
P01,1.0,0.0,0.024676578581649282,-0.0,-0.002912326660400777,0.0,-0.10421847335894957,-0.07425937268096319,-0.06538827145383186,-0.0,-0.00435592787075657,0.0,-0.0,-0.0
P02,0.0,1.0,0.0,0.04294804078912904,0.0,0.04390587943547819,0.0338001844163789,0.015098271962077792,0.15345722247876545,-0.06466830931755715,-0.0,-0.0,0.03283704796661719,0.09903708866430452
P03,0.024676578581649282,0.0,1.0,0.035852431841266436,0.0,-0.060716237149056995,0.11995949701114021,0.174492422930614,0.017964858721557342,-0.008491975120252772,-0.0,0.0,-0.0,-0.0
P04,-0.0,0.04294804078912904,0.035852431841266436,1.0,0.0,-0.0,-0.0,-0.018860800082622167,0.0006950055771748207,-0.0,-0.0,0.012101528666308215,-0.0,0.0
P05,-0.002912326660400777,0.0,0.0,0.0,1.0,0.08279136760970933,-0.04397523417892544,0.1635269522096062,-0.0,-0.09632050580197368,0.10153669976149028,0.0,0.13750414881455067,-0.0
P06,0.0,0.04390587943547819,-0.060716237149056995,-0.0,0.08279136760970933,1.0,0.0,-0.06884870575902087,0.0,-0.04856931425256999,0.06402300378056475,0.0,0.0,0.0
P07,-0.10421847335894957,0.0338001844163789,0.11995949701114021,-0.0,-0.04397523417892544,0.0,1.0,-0.07589547770770859,0.0,0.0,-0.00039191998936824994,0.0,0.0,0.0
P08,-0.07425937268096319,0.015098271962077792,0.174492422930614,-0.018860800082622167,0.1635269522096062,-0.06884870575902087,-0.07589547770770859,1.0,-0.15796591026600645,-0.0,0.0,0.0,0.10009359354981982,-0.0
C01,-0.06538827145383186,0.15345722247876545,0.017964858721557342,0.0006950055771748207,-0.0,0.0,0.0,-0.15796591026600645,1.0,0.09512077431679294,0.028998480077034504,0.09466953240334505,-0.06785543793577066,0.12177372084437171
C02,-0.0,-0.06466830931755715,-0.008491975120252772,-0.0,-0.09632050580197368,-0.04856931425256999,0.0,-0.0,0.09512077431679294,1.0,-0.0,0.0,0.019785474743482953,0.09422115154424636
C03,-0.00435592787075657,-0.0,-0.0,-0.0,0.10153669976149028,0.06402300378056475,-0.00039191998936824994,0.0,0.028998480077034504,-0.0,1.0,0.0,0.0,0.0
C04,0.0,-0.0,0.0,0.012101528666308215,0.0,0.0,0.0,0.0,0.09466953240334505,0.0,0.0,1.0,-0.0,0.17217008187809435
C05,-0.0,0.03283704796661719,-0.0,-0.0,0.13750414881455067,0.0,0.0,0.10009359354981982,-0.06785543793577066,0.019785474743482953,0.0,-0.0,1.0,0.05482886898057522
C06,-0.0,0.09903708866430452,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.12177372084437171,0.09422115154424636,0.0,0.17217008187809435,0.05482886898057522,1.0
