,P01,P02,P03,P04,P05,P06,P07,P08,C01,C02,C03,C04,C05,C06
P01,1.0,0.3615979975464395,0.307361007630397,0.23227857710706162,0.26230427505943765,0.42055608382013016,-0.11264457722256807,0.17207112659816115,-0.2661048867619764,-0.23118395780283985,-0.02586685876455234,-0.10674239404645432,-0.45437334819222974,-0.12235289299070945
P02,0.3615979975464395,1.0,0.1789413273684111,0.5093248581828955,0.44743253501696806,0.5598532627468419,0.021023610795921598,0.6335430642493419,-0.08113172494032293,-0.2378561230573567,0.18653717901382016,-0.2618192360930242,-0.20798455094187115,0.04820714027000975
P03,0.307361007630397,0.1789413273684111,0.9999999999999999,0.05481916580845158,-0.04069460093602289,0.072811476766143,0.15891033296922127,0.3198431472609809,-0.023162449941860275,0.039499697967519065,-0.09174277561942427,-0.05133210684004093,-0.3142598852734032,-0.20327366068976582
P04,0.23227857710706162,0.5093248581828955,0.054819165808451586,1.0,0.40751426351883197,0.3453472657016124,-0.12229250891929493,0.35497330682949735,-0.14603249741950391,-0.38935826011898594,0.14830373985506587,-0.29304243400078506,-0.1279118042434821,0.07703661031464096
P05,0.26230427505943765,0.4474325350169681,-0.04069460093602288,0.40751426351883197,1.0,0.500583144825254,-0.31599451619337093,0.5893944465587982,-0.0390687577379003,-0.2728269343685754,0.39358381777657814,-0.10160737307506436,0.005711331354763629,0.14480092407566458
P06,0.42055608382013016,0.5598532627468419,0.072811476766143,0.34534726570161245,0.500583144825254,1.0,-0.04474911980068307,0.30914965270857603,-0.19228687739677783,-0.3918489850643186,0.019793850932308354,-0.2924105492025697,-0.3467612830525276,-0.26142162818360365
P07,-0.11264457722256808,0.021023610795921598,0.15891033296922127,-0.12229250891929491,-0.3159945161933709,-0.04474911980068308,1.0,-0.17753867937634707,0.17120573031690353,-0.028905398081967775,-0.379097599372734,-0.23078838663665388,-0.14180643393366338,-0.4445043553259914
P08,0.17207112659816115,0.6335430642493419,0.3198431472609809,0.35497330682949735,0.5893944465587982,0.30914965270857603,-0.17753867937634707,1.0,-0.1341178680204879,-0.1292515769741285,0.4204910503677384,-0.1202695584156788,-0.03566620179189734,0.16559823471742355
C01,-0.26610488676197636,-0.08113172494032293,-0.02316244994186028,-0.14603249741950391,-0.0390687577379003,-0.19228687739677783,0.17120573031690356,-0.13411786802048786,0.9999999999999999,0.4086772225480211,0.2465204329526746,0.26462545140282107,0.08377419056143708,0.23090424601582354
C02,-0.23118395780283982,-0.23785612305735668,0.039499697967519065,-0.38935826011898594,-0.2728269343685754,-0.3918489850643186,-0.028905398081967775,-0.1292515769741285,0.4086772225480211,0.9999999999999999,0.1577143092391798,0.5622436906488884,0.19075074333569966,0.5348189758943177
C03,-0.02586685876455234,0.18653717901382014,-0.09174277561942429,0.14830373985506587,0.39358381777657814,0.019793850932308357,-0.379097599372734,0.4204910503677384,0.24652043295267462,0.15771430923917984,1.0,0.30704349974875006,0.2588563315499776,0.6347709782631531
C04,-0.1067423940464543,-0.2618192360930242,-0.05133210684004093,-0.29304243400078506,-0.10160737307506436,-0.2924105492025697,-0.23078838663665388,-0.1202695584156788,0.26462545140282107,0.5622436906488884,0.30704349974875006,0.9999999999999999,0.1795755013014805,0.6267703735712007
C05,-0.4543733481922298,-0.20798455094187115,-0.31425988527340315,-0.1279118042434821,0.005711331354763629,-0.3467612830525276,-0.14180643393366338,-0.03566620179189734,0.08377419056143708,0.19075074333569966,0.2588563315499776,0.1795755013014805,0.9999999999999999,0.3400948588948218
C06,-0.12235289299070944,0.04820714027000975,-0.20327366068976582,0.07703661031464097,0.1448009240756646,-0.2614216281836036,-0.4445043553259915,0.16559823471742355,0.23090424601582354,0.5348189758943177,0.6347709782631531,0.6267703735712007,0.3400948588948218,0.9999999999999999
