variable,type_inferred,n_total,n_nonmissing_raw,missing_pct_raw,imputed_used,trend_slope_or_beta,trend_p,regressed_pct_change_vs_scale,autocorr_lag1,ljung_box_p,adf_p,kpss_p
P01,proportion,180,142,0.21111111111111114,True,0.00445642815656952,1.6460883191644424e-55,79.7700640025944,0.9470766924048171,2.431539452267228e-243,0.21163035774279898,0.01
P02,proportion,180,153,0.15000000000000002,True,0.002280753396476566,2.3784231978431426e-15,51.59104146138493,0.9040519940898263,7.579639496255853e-147,0.01916416952752745,0.01
P03,proportion,180,158,0.12222222222222223,True,0.0009406925950698415,0.0031603854350530656,16.838397451750165,0.8975677517783671,3.6000119783161446e-139,0.10103773979572733,0.1
P04,proportion,180,170,0.05555555555555558,True,0.003326825361537811,2.4134250169138128e-33,60.60816040277296,0.9252847174914675,3.2536576769997045e-185,0.11506117255630116,0.01
P05,proportion,180,154,0.1444444444444445,True,0.0025511403662073044,2.3236191753529612e-20,48.24855579475045,0.8639943773325215,2.3456156081938634e-126,0.24010017945476425,0.01
P06,proportion,180,158,0.12222222222222223,True,-0.0009768552923577823,7.390314330271494e-05,-20.111785803932,0.8333008965662065,6.426880966655751e-87,0.0336838828685156,0.1
P07,proportion,180,143,0.2055555555555556,True,0.0016031593449846613,2.2711507896925215e-06,36.59983043470842,0.9113570664007724,7.418669276768114e-177,0.027056502265647427,0.02365137366567659
P08,proportion,180,149,0.17222222222222228,True,0.0034127501957569332,6.972255234628126e-60,61.088228504049106,0.8764995762391589,5.433801510654499e-163,0.9512298472774101,0.01
C01,continuous,180,152,0.15555555555555556,True,-0.0027303828787982737,0.12617341805893834,-7.91580965334208,0.84363218504189,4.123105334113259e-70,0.0027656004616932665,0.1
C02,continuous,180,133,0.26111111111111107,True,0.013085059588384015,2.0695453894637142e-12,38.255715442550375,0.8979454371094773,7.940311438243562e-146,0.01965675299767241,0.01
C03,continuous,180,168,0.06666666666666665,True,-0.0015971122169177203,0.21075693314699206,-6.217247876221442,0.5978897759182125,8.722829940946232e-16,1.7083672467042464e-10,0.1
C04,continuous,180,167,0.07222222222222219,True,-0.0003116759795086103,0.8740246655536148,-0.9656481654235559,0.8833452985872641,4.289407699988369e-115,0.013962792959646933,0.1
C05,continuous,180,149,0.17222222222222228,True,0.01340301841048249,8.201520204119293e-15,31.765423521034737,0.8979020344819634,9.929136050752687e-133,0.06146736936776767,0.01
C06,continuous,180,121,0.3277777777777777,True,0.008763613505383912,1.5201004387365316e-05,17.61661304202469,0.8581219095712274,3.679904060041344e-156,0.07269961125025835,0.03457093552887963
