predictor,criterion,predictor_label,criterion_label,beta_abs_recent,beta_last_abs,beta_signed_recent,pcorr_abs_recent,pcorr_last_abs,focus_recent,stability_recent,precision_recent,ci_width_recent,change_last,local_pred_out_strength_abs,local_crit_in_strength_abs,local_pr_mean_pagerank,local_pr_mean_eigenvector,local_pr_mean_katz,local_pr_mean_betweenness,local_pr_mean_closeness,local_pr_mean_participation,local_pr_mean_core_number,edge_impact,beta_abs_recent_norm,beta_last_abs_norm,pcorr_abs_recent_norm,pcorr_last_abs_norm,focus_recent_norm,stability_recent_norm,precision_recent_norm,change_last_norm,contrib__beta_abs_recent,contrib__beta_last_abs,contrib__pcorr_abs_recent,contrib__pcorr_last_abs,contrib__focus_recent,contrib__stability_recent,contrib__precision_recent,contrib__change_last,local_pred_out_strength_abs_norm,local_crit_in_strength_abs_norm,local_pr_mean_pagerank_norm,local_pr_mean_eigenvector_norm,local_pr_mean_katz_norm,local_pr_mean_betweenness_norm,local_pr_mean_closeness_norm,local_pr_mean_participation_norm,local_pr_mean_core_number_norm,contrib__local_pred_out_strength_abs,contrib__local_crit_in_strength_abs,contrib__local_pr_mean_pagerank,contrib__local_pr_mean_eigenvector,contrib__local_pr_mean_katz,contrib__local_pr_mean_betweenness,contrib__local_pr_mean_closeness,contrib__local_pr_mean_participation,contrib__local_pr_mean_core_number,edge_impact_pct,edge_impact_signed,edge_impact_signed_pct,edge_rank
P07,C03,Hourly micro-breaks with movement since last prompt,Headaches triggered by muscular tension,0.037179576456046706,0.09200798047912065,0.037179576456046706,0.16345922436067156,0.13525065904092695,0.3303284903169125,0.9737918761365042,0.9595508743685434,0.04215422726603764,0.019024886492470694,0.103786517750874,0.1616003481861624,0.07952440167318332,0.34097278631622113,0.2681582694315472,0.014153378879981063,0.003249863722228361,0.22117483428830537,2.5818362651785307,0.614716413059203,0.8999440976950313,0.9854841525304544,0.6878021522971652,0.48179324789884215,0.3605063016613426,0.01625239362432148,0.7061249089014467,0.0,0.15119060841276527,0.07095485898219271,0.049521754965395896,0.017344556924358316,0.021630378099680558,0.0011701723409511466,0.03389399562726945,0.0,0.6052497866995106,1.0,0.5347947322032199,0.7340986114418542,0.8439734146312124,0.010687183677519904,0.4047235073975599,0.47324037217007997,0.7738110319987715,0.048419982935960844,0.08,0.023768654764587557,0.0326266049529713,0.030007943631332,0.0002849915647338641,0.008993855719945777,0.010516452714890668,0.03439160142216763,61.4716413059203,0.614716413059203,61.4716413059203,1
P01,C05,Progressive muscle relaxation (PMR) practice intensity since last prompt,Difficulty relaxing on low-stress days,0.10607341255012685,0.11459541981348914,0.10607341255012685,0.026234427282715727,0.004905239949085929,0.8769421819467269,0.9665755138903345,0.8628811482952354,0.15890815551558352,0.0007890243782828765,0.17118678571278656,0.10607341255012678,0.0514127276672489,0.10778989937755916,0.2672787925927095,0.113494888210592,0.002404356528840655,0.17344493701426833,2.0873487899025345,0.5658117071694959,1.0,1.0,0.04021147831081635,0.0,0.9570569661767273,0.0,0.0037902078968724074,0.933562419392176,0.168,0.072,0.0028952264383787767,0.0,0.05742341797060364,0.0,0.00018192997904987557,0.06721649419623667,1.0,0.6279027843010805,0.018304833799763543,0.1306923727611577,0.48298599351288096,0.509651604228117,0.1287933956994973,0.335259863523794,0.45370076290591954,0.08,0.05023222274408644,0.0008135481688783799,0.005808549900495899,0.017172835324902436,0.01359070944608312,0.0028620754599888295,0.007450219189417646,0.020164478351374207,56.58117071694959,0.5658117071694959,56.58117071694959,2
P05,C06,Ergonomic/posture adjustments and mindful posture checks since last prompt,Habitual anticipatory muscle bracing in absence of immediate threat,0.019081921714917453,0.018442446076650982,0.019081921714917453,0.07701705190527702,0.10115129834084516,0.988229736621811,0.9923051382206745,0.960953603918608,0.04063296700503282,0.00016899168437910922,0.050309268969428216,0.0726263557124183,0.0775285646951534,0.17816879684874093,0.2673128753265559,0.21070082363562295,0.002930917838789273,0.32681141835231786,2.924712149823208,0.5455063196664433,0.46188430468862246,0.19753436873404026,0.2798646226870319,0.3540867879165013,1.0,0.7111658241455864,0.7163161619353883,0.9857705300849857,0.07759656318768858,0.014222474548850898,0.020150252833466293,0.012747124364994046,0.06,0.05120393933848222,0.034383175772898636,0.07097547816611896,0.29204397904414237,0.4037672979812127,0.4981256374422702,0.312811508359436,0.4969754900550992,0.9978896385629132,0.3006359562433625,0.7786210755292968,0.9957743721982301,0.02336351832353139,0.03230138383849702,0.022138917219656457,0.013902733704863824,0.01767023964640353,0.02661039036167769,0.0066807990276302786,0.01730269056731771,0.04425663876436579,54.550631966644325,0.5455063196664433,54.550631966644325,3
P08,C02,Threat reappraisal / cognitive reframing practice since last prompt,Low moment-to-moment awareness of bodily tension,0.022932832520311554,0.03272317429223263,0.022932832520311554,0.07422943111496659,0.05211306777940618,0.9116986070219231,0.9884158993660536,0.9297718862210013,0.07553262775500381,0.001726987974676724,0.02304133290056599,0.12285184114342096,0.07442747121292165,0.28898030722577966,0.26796160410807934,0.027815992087291658,0.004771347841024004,0.38946980435120265,2.309593713998711,0.5424972078038275,0.5550968902101773,0.35049318023891735,0.26670929460598575,0.17043235275331692,0.9949886330783847,0.5651794332927218,0.48977158313571184,0.8545838304438387,0.09325627755530978,0.02523550897720205,0.019203069211630973,0.006135564699119409,0.05969931798470308,0.04069291919707597,0.023509035990514168,0.06153003579195638,0.13234100003625254,0.7403384246232922,0.441149896430213,0.5995579225451578,0.7632507567885295,0.07931064156665865,0.9012577606000647,0.9597577731727733,0.5975727232973114,0.010587280002900204,0.05922707396986338,0.019606662063565025,0.026647018779784797,0.027137804685814382,0.002114950441777564,0.020027950235556997,0.02132795051495052,0.026558787702102734,54.249720780382745,0.5424972078038275,54.249720780382745,4
P05,C03,Ergonomic/posture adjustments and mindful posture checks since last prompt,Headaches triggered by muscular tension,0.0,0.0,0.0,0.1305600556355074,0.13908446172313638,0.0,1.0,1.0,0.0,0.0,0.050309268969428216,0.1616003481861624,0.08903159432629415,0.3740747104192302,0.2685013946503051,0.12301550807997311,0.0034683568073514835,0.33310746006774206,2.575308764423635,0.5319044921451341,0.0,0.0,0.5325445363123776,0.4961513284834613,0.0,1.0,1.0,1.0,0.0,0.0,0.038343206614491185,0.017861447825404605,0.0,0.072,0.048,0.072,0.29204397904414237,1.0,0.709468391497601,0.8197563017566013,0.9848115610953904,0.5574709962266684,0.4760284257409716,0.7968220583088055,0.7695854041970014,0.02336351832353139,0.08,0.031531928511004496,0.03643361341140451,0.035015522172280544,0.01486589323271116,0.010578409460910482,0.01770715685130679,0.034203795742088955,53.190449214513414,0.0,0.0,5
P01,C03,Progressive muscle relaxation (PMR) practice intensity since last prompt,Headaches triggered by muscular tension,0.0,0.0,0.0,0.06310310665643848,0.05815045935950957,0.0,1.0,0.9992235291776395,0.0007770741978019598,0.0,0.17118678571278656,0.1616003481861624,0.07453839679952073,0.32691301400996114,0.26802405400723817,0.06476515403717499,0.003165775087625467,0.2602852132436688,2.2219844357053606,0.5053723815505278,0.0,0.0,0.21420199192806108,0.19304315513766618,0.0,1.0,0.9943587054084769,1.0,0.0,0.0,0.015422543418820397,0.006949553584955982,0.0,0.072,0.0477292178596069,0.072,1.0,1.0,0.4431879089989705,0.6977162060457884,0.7888837547833786,0.2648958748330186,0.37728129694687407,0.5863030496492853,0.5408581833913979,0.08,0.08,0.019697240399954248,0.031009609157590604,0.028049200170075683,0.007063889995547162,0.008384028821041648,0.013028956658873008,0.024038141484062133,50.537238155052776,0.0,0.0,6
P07,C06,Hourly micro-breaks with movement since last prompt,Habitual anticipatory muscle bracing in absence of immediate threat,0.034961668635183345,0.031911515946891865,0.034961668635183345,0.10606936886858587,0.1606526164306808,0.3935251655144947,0.9817924573770811,0.8541863773968905,0.17070469216270157,0.0038349298557874903,0.103786517750874,0.0726263557124183,0.06802137204204257,0.1450668727457319,0.266969750107798,0.10183869443563091,0.002712424753666151,0.21487879257288117,2.931239650578103,0.5044212745890749,0.8462588962248835,0.3417996252620865,0.4169681923315633,0.5769268219092177,0.4294764338800802,0.3165620489825306,0.0,0.6770905076802473,0.14217149456578043,0.024609573018870227,0.030021709847872554,0.020769365588731836,0.025768586032804814,0.022792467526742202,0.0,0.048750516552977796,0.6052497866995106,0.4037672979812127,0.3234519781478891,0.22715381804468904,0.35613734359092136,0.45110582601376487,0.22933103789995093,0.4550393893905713,1.0,0.048419982935960844,0.03230138383849702,0.01437564347323952,0.010095725246430626,0.012662661105454982,0.012029488693700397,0.005096245286665578,0.010111986430901587,0.04444444444444445,50.44212745890749,0.5044212745890749,50.44212745890749,7
P03,C02,Diaphragmatic/soothing breathing micro-practices since last prompt,Low moment-to-moment awareness of bodily tension,0.0,0.0,0.0,0.2140974778937933,0.2728934856886975,0.0,1.0,0.9999494481783958,5.0554377220106934e-05,0.0,0.023823761388461553,0.12285184114342096,0.08792230439372803,0.27353836086541916,0.2678187672948616,0.06842094450486214,0.004384852713950936,0.20218972618830128,1.9915328086127126,0.4968267620970949,0.0,0.0,0.926773981247123,0.997283209360425,0.0,1.0,0.9996327257772026,1.0,0.0,0.0,0.06672772664979285,0.035902195536975295,0.0,0.072,0.04798237083730573,0.072,0.13692353096422583,0.7403384246232922,0.6890876399119749,0.5595988719752709,0.7046223875498584,0.28325788065168633,0.7751256065296422,0.4183570595724595,0.39167355071624527,0.010953882477138067,0.05922707396986338,0.03062611732942111,0.024871060976678714,0.02505324044621719,0.007553543484044969,0.017225013478436496,0.009296823546054657,0.01740771336516646,49.68267620970949,0.0,0.0,8
P05,C02,Ergonomic/posture adjustments and mindful posture checks since last prompt,Low moment-to-moment awareness of bodily tension,0.0,0.0,0.0,0.11894801915031321,0.10463962816678644,0.0,1.0,0.9542601607046793,0.04793225283715493,0.0,0.050309268969428216,0.12285184114342096,0.08987494708901131,0.31454917749634786,0.2679862796164262,0.14812122605819347,0.004701918613625031,0.4087475957751904,2.707017555597548,0.4935292187902791,0.0,0.0,0.4777450635208162,0.3671510285408338,0.0,1.0,0.66768627924822,1.0,0.0,0.0,0.03439764457349876,0.013217437027470016,0.0,0.072,0.03204894140391456,0.072,0.29204397904414237,0.7403384246232922,0.7249631351632434,0.6657223655702441,0.7733789918136622,0.6835699462820751,0.8785996275633134,1.0,0.8548481028347035,0.02336351832353139,0.05922707396986338,0.03222058378503305,0.029587660692010857,0.027497919708930212,0.018228531900855337,0.019524436168073638,0.022222222222222227,0.03799324901487572,49.35292187902791,0.0,0.0,9
P07,C02,Hourly micro-breaks with movement since last prompt,Low moment-to-moment awareness of bodily tension,0.018251243831161508,0.0024905287155356265,0.018251243831161508,0.09408813138701694,0.08619710939929645,0.2761463441557119,0.9871773286889157,0.9062279262433157,0.1034751534808773,0.0038619316224431034,0.103786517750874,0.12285184114342096,0.0803677544359005,0.2814472533933388,0.2676431543976683,0.03925909685820143,0.004483425528501909,0.2968149699957537,2.713545056352443,0.4876537884418737,0.4417774683599267,0.02667569234539779,0.36042638778094727,0.2980814408242412,0.3013742385749613,0.5186884694485464,0.3187176165727795,0.6748168997942147,0.07421861468446769,0.0019206498488686407,0.0259506999202282,0.010730931869672682,0.01808245431449768,0.03734556980029534,0.015298445595493418,0.04858681678518345,0.6052497866995106,0.7403384246232922,0.5502894758688627,0.5800646752554971,0.6325408453494843,0.1367861337329266,0.8072947092199019,0.6919055065001514,0.8590737306364734,0.048419982935960844,0.05922707396986338,0.024457310038616124,0.025780652233577655,0.022490341167981664,0.003647630232878043,0.017939882427108932,0.015375677922225588,0.03818105469495438,48.76537884418737,0.4876537884418737,48.76537884418737,10
