Predictor path,Fusion score,Source,Reason
BIO / Personalization_Monitoring_and_Data_Feedback / Self_Assessmen...,0.339063,nomothetic_idiographic_fusion,Fused from profile-specific mapping priors and observ...
PSYCHO / Positive_Psychology_and_Wellbeing / Gratitude_and_Savoring,0.334777,nomothetic_idiographic_fusion,Fused from profile-specific mapping priors and observ...
PSYCHO / Positive_Psychology_and_Wellbeing / Meaning_Purpose_and_Fu...,0.334777,nomothetic_idiographic_fusion,Fused from profile-specific mapping priors and observ...
PSYCHO / Positive_Psychology_and_Wellbeing / Resilience_and_Optimis...,0.334777,nomothetic_idiographic_fusion,Fused from profile-specific mapping priors and observ...
PSYCHO / Positive_Psychology_and_Wellbeing / Strengths_and_Resource...,0.334777,nomothetic_idiographic_fusion,Fused from profile-specific mapping priors and observ...
PSYCHO / Brief_and_Motivational_Approaches / Coaching_and_Behavior_...,0.334777,nomothetic_idiographic_fusion,Fused from profile-specific mapping priors and observ...
PSYCHO / Brief_and_Motivational_Approaches / Motivational_Interview...,0.334777,nomothetic_idiographic_fusion,Fused from profile-specific mapping priors and observ...
PSYCHO / Brief_and_Motivational_Approaches / Solution_Focused_Brief...,0.334777,nomothetic_idiographic_fusion,Fused from profile-specific mapping priors and observ...
PSYCHO / Change_Process_and_Therapeutic_Phases / Behavior_Change_Th...,0.334777,nomothetic_idiographic_fusion,Fused from profile-specific mapping priors and observ...
PSYCHO / Change_Process_and_Therapeutic_Phases / Behavioral_Integra...,0.334777,nomothetic_idiographic_fusion,Fused from profile-specific mapping priors and observ...
PSYCHO / Change_Process_and_Therapeutic_Phases / Experiential_Disco...,0.334777,nomothetic_idiographic_fusion,Fused from profile-specific mapping priors and observ...
PSYCHO / Change_Process_and_Therapeutic_Phases / Identity_Consolida...,0.334777,nomothetic_idiographic_fusion,Fused from profile-specific mapping priors and observ...
