Barrier,HAPA path,Score,Rationale
Self_Efficacy,Motivation / Self_Efficacy,0.42,"High combined plausibility from predictor, profile, and context-to-ba..."
Safety_And_Trauma_Exposure,Context / Safety_And_Trauma_Exposure,0.414,"High combined plausibility from predictor, profile, and context-to-ba..."
Crisis_Escalation_Risk,Recovery / Crisis_Escalation_Risk,0.394,"High combined plausibility from predictor, profile, and context-to-ba..."
Action_Initiation,Volition / Action_Initiation,0.394,"High combined plausibility from predictor, profile, and context-to-ba..."
Planning,Volition / Planning,0.38,"High combined plausibility from predictor, profile, and context-to-ba..."
Cultural_Structural,Context / Cultural_Structural,0.377,"High combined plausibility from predictor, profile, and context-to-ba..."
Ambivalence_Commitment,Motivation / Ambivalence_Commitment,0.376,"High combined plausibility from predictor, profile, and context-to-ba..."
Healthcare_And_Services_Access,Context / Healthcare_And_Services_Access,0.374,"High combined plausibility from predictor, profile, and context-to-ba..."
Sustaining_Change,Maintenance / Sustaining_Change,0.357,"High combined plausibility from predictor, profile, and context-to-ba..."
Attention_And_Digital_Distraction,Volition / Attention_And_Digital_Distraction,0.346,"High combined plausibility from predictor, profile, and context-to-ba..."
