Strategy,Linked barriers,Score,Path
Safety_and_Stabilization,"Crisis_Escalati..., Healthcare_And_...",0.414,Crisis_and_Overwhelm_Support / Safety_and_Sta...
Standards_and_Goals,"Action_Initiati..., Ambivalence_Com...",0.399,Self_Regulation_and_Action_Control / Standard...
Starting_Skills,"Action_Initiati..., Self_Efficacy",0.394,Action_Initiation_and_Activation / Starting_S...
Acute_Deescalation_Tools,"Attention_And_D..., Crisis_Escalati...",0.386,Crisis_and_Overwhelm_Support / Acute_Deescala...
Precommitment_and_Commitment,"Action_Initiati..., Ambivalence_Com...",0.38,Planning_and_Implementation / Precommitment_a...
Action_Planning,Planning,0.38,Planning_and_Implementation / Action_Planning
Coping_Planning,Planning,0.38,Planning_and_Implementation / Coping_Planning
Behavioral_Activation,"Action_Initiati..., Ambivalence_Com...",0.378,Action_Initiation_and_Activation / Behavioral...
Exposure_and_Approach,"Safety_And_Trau..., Self_Efficacy",0.378,Action_Initiation_and_Activation / Exposure_a...
Self_Monitoring,Self_Efficacy,0.378,Self_Regulation_and_Action_Control / Self_Mon...
