Component,Status,Runtime_ms,Run
initial_model,completed,2025618,example_run_2026_thesis_full_mini_v3
handoff,completed,260064,example_run_2026_thesis_full_mini_v13_report
operationalization,completed,193424,example_run_2026_thesis_full_mini_v3
intervention,completed,62913,example_run_2026_thesis_full_mini_v13_report
translation_communication,completed,20565,example_run_2026_thesis_full_mini_v13_report
pseudodata,completed,16586,example_run_2026_thesis_full_mini_v3
visualization,completed,2617,example_run_2026_thesis_full_mini_v3
network,completed,2411,example_run_2026_thesis_full_mini_v3
readiness,completed,2194,example_run_2026_thesis_full_mini_v3
reporting,completed,1183,example_run_2026_thesis_full_mini_v13_report
impact,completed,401,example_run_2026_thesis_full_mini_v3
