t_index,date,P01,P02,P03,P04,P05,P06,C01,C02,C03,C04,C05,C06,C07
0,2025-01-01,0.22791908827135898,0.8791402367554118,0.24108014215174584,0.5614028692658345,,0.4713255655330709,4.106328705783407,5.3455202671677835,,3.8429334747133836,5.743965940592747,4.123210543460906,4.774880060083189
1,2025-01-02,0.13242087098766317,0.6465032514950546,0.17349670337010942,0.6727642362487559,0.8323634610401796,,3.007165161905495,5.294274215351702,4.662677441423715,4.026592028948283,5.620918021351313,3.9350541776008363,5.635744331299341
2,2025-01-03,0.01520114192137062,0.47039917415748156,0.15035347744664856,0.48741620634280264,0.6758582361965736,0.29427830877853633,2.6829618546521607,5.558189666950941,5.5641538366196714,4.3905015572199,5.555271152961195,3.308667617334309,6.083919465845977
3,2025-01-04,0.027472188125094277,0.5184384020207757,0.11229274897419514,0.3405571266884484,0.6779521921075579,,2.7292931208455116,5.259478008193817,5.364468980039234,4.466450961035512,,,5.441601655232582
4,2025-01-05,0.14980907946494462,0.47949479265690964,0.21950355738119712,0.2259109252016226,0.6484877537909818,0.22062438121850692,3.0551120411495445,5.880909117807967,5.682668016706092,3.8345442622180985,,3.4866826377618594,4.442033157026915
5,2025-01-06,0.25098498988001616,0.29451310070500825,0.2939650856755564,0.2159716292399729,0.7375813975904916,0.2029673417924842,2.624729028055679,,5.903260492579586,3.385993320451621,,3.9179786898367417,3.963172320999265
6,2025-01-07,0.207248301419663,0.3306025358807231,0.19607860617212353,0.29390935973746374,0.6544788065062398,0.24416696977727176,2.8250044102988197,,5.994852831216434,3.749796330852261,4.749787258817988,3.4217852764637415,4.452682741459446
7,2025-01-08,0.09494981341903527,0.36717561235407187,0.18500641815957197,0.36509607993069526,0.6169421462429825,0.2017653203577137,,,5.093070099344809,4.129701118987038,5.470981168040044,,4.21542463520244
8,2025-01-09,0.23729881668172864,0.3350394338912772,0.045101253549573755,0.3831414923703878,0.46321210830421566,,1.815379775495391,,,4.229495369281077,5.0467975629850725,3.097273379802722,4.279892007718207
9,2025-01-10,0.19914775895554643,0.43876144202438433,0.018687730021402407,0.36487774323599953,0.4639721076541686,0.22888378753372413,2.074478926200923,,5.82640312684214,4.414748555821902,5.011234030483879,2.949893786337147,
10,2025-01-11,0.11132071280225818,0.29729905694530556,0.08246570651927528,0.34181716431324166,0.5393459290523378,0.31071554585325434,,3.866194093788459,5.404553738873115,5.06705075767116,4.08868035915292,,3.8581893324728918
11,2025-01-12,0.23831215896136823,0.13079028202418583,0.00443636098166518,0.42307779628257697,0.6359735068279592,0.3761544326225422,2.348533150774789,3.684869141351678,5.479408132722175,,4.4130149685672935,3.389238803484215,3.8230455873368325
12,2025-01-13,,0.044002415677145634,0.0,0.3173594926553488,0.6308226917514212,,2.827687939760976,,5.796939274730987,5.469154288654943,,3.2630957061025474,4.131033294751574
13,2025-01-14,0.1103781818058911,0.04096695585398242,,0.24963335232109363,0.5452906647678323,0.21203782215618566,3.358543500007743,,5.572613253942455,6.053733209406927,,3.4641862649639807,4.790343366053895
14,2025-01-15,0.17823694307485002,0.083459965570045,0.0,0.30815857746355824,0.430310422624484,0.3036314442488546,2.6352002985284573,4.18580015905409,5.339706579663399,5.20310773261193,4.160730872967593,2.623814727421192,4.270018300571312
15,2025-01-16,0.060018451356493946,0.13086384448589758,0.0,0.38051267747198714,0.41792619883822174,0.2525420984604551,2.11433270882949,3.489514910679924,5.096777442460505,4.40282018541477,4.597285114317524,,4.009192713012155
16,2025-01-17,0.1181021344371955,0.11113093925955024,0.0,0.42027279177134713,0.5482908664015853,0.29794321159596765,2.5764247775503915,2.8990814480448757,5.365324818835842,4.018529561206435,5.0852412071111415,1.838076451695366,4.353146622605469
17,2025-01-18,0.22742684172636266,0.10981764259577509,,0.39760254163792313,0.5708458825156228,,,2.8761952123359724,4.301997719607174,4.111366741157064,4.881365653585061,,4.228854127672289
18,2025-01-19,0.308317595009981,0.012963951293705159,,0.2523718122886135,0.579483013661313,0.49093181664926167,2.4155423006019845,2.881546348755163,3.8253224393455296,4.615479817650951,4.440893039000419,2.8242148030696828,3.908260455386831
19,2025-01-20,0.25846405080048,0.0,0.0,0.19871190324621074,0.5411652114729606,0.4500128715158772,2.475271810294862,3.5643854109387596,,4.577268495127667,4.220566948145627,3.6161859707752373,4.092507802445494
20,2025-01-21,0.3181251338856148,0.0,0.0,0.12135334441319877,0.6029183189970009,0.40945918943750975,,3.826292939377046,,5.020725680980871,4.569314751903534,4.814248146017542,5.025917729675513
21,2025-01-22,0.2873171059582563,0.03511078934099307,0.0,0.17967525989257524,0.5834709312025469,0.3532444298618549,,4.376436292734345,4.297506788562909,5.060323129955477,4.252805040312857,5.251789538340444,5.13901910501221
22,2025-01-23,0.4004381740553131,0.04784707479194758,0.03496644805329164,0.2131372175954407,0.49610153148910197,0.4436899613086843,3.498794178108613,3.461705645208047,4.636827192152748,,4.088963524063344,5.498094962819112,4.862299802606492
