t_index,date,P01,P02,P03,P04,P05,P06,P07,C01,C02,C03,C04,C05,C06
0,2025-01-01,0.6362993472234291,0.13998906156118235,0.4259876085885389,0.38439724599728187,0.7531209431584869,0.49217610909370435,0.5603296596034435,6.647802216458749,5.034422519708521,5.579301242879392,5.650945616262069,4.205096450595528,5.087429897807819
1,2025-01-02,0.6082100706427186,0.26929196775986897,0.3106393442042672,0.47962117485017747,,0.4830489673690725,0.4819157465040774,5.526011976211824,4.899826982963896,4.763427167130578,5.377467767035639,3.6627384250927046,4.660130858644543
2,2025-01-03,0.5564309280117965,0.30639032352123835,0.3313180249524895,0.5296289316281395,,0.47633048076285256,0.37925633423605554,5.032565135207563,4.553771548838494,4.785406086038327,5.431697056377259,3.0190534576202555,4.403627245605333
3,2025-01-04,0.5326169859037388,0.1821753716549179,0.34835142423646953,0.5165362394094477,,0.3769647175405581,0.43490401027827064,3.6054578532369757,3.4562765784617886,4.4439455507311925,4.7543435491669435,,4.478439678032197
4,2025-01-05,,0.17783364626322185,0.404072380060737,0.5016383752842564,,0.4570047742126192,0.279902192592018,3.8970980545198555,,4.019854657880215,5.132850188207399,2.436298641993062,3.73601517588244
5,2025-01-06,0.40430626142994947,0.09454508914785371,0.43541165590986897,0.40212606028175,,0.442061268905337,0.30100508146872423,3.7944216048317267,,,4.582508334466853,2.5919896820187263,3.955508854618503
6,2025-01-07,,0.2588052142638897,0.331311795586463,0.3641911953569675,,0.34830206164634175,0.36233934500234277,3.6350404444728612,3.2987286927652155,3.3981475565981762,4.0013012845711255,3.198800660763617,3.780974810662692
7,2025-01-08,,0.3059015398199838,0.5586684970756877,0.3534042592178658,,0.27778788441368363,0.34647719394535575,2.1882940279014598,4.2872331678035565,3.770940783739496,3.9143697866117892,2.526605511652619,
8,2025-01-09,0.42775074852076234,0.2868231281415322,0.4682502220191558,0.5169702607075999,,0.26467971479653135,0.3892057704924973,2.353778639013825,3.7190171710156443,3.259927575416119,3.3219466588128554,,3.646165750964011
9,2025-01-10,0.4160114030572603,0.3427674130120278,0.5076640501161698,0.48453189658694684,,0.008930548977711394,0.43462324516653256,1.9772098555525894,3.837662580526094,3.0914788194520026,3.4200006919435553,2.078214946701013,3.9913881132302422
10,2025-01-11,0.49824018416724813,0.3038918705303192,0.5112502647270221,0.37380663250571244,,0.0,0.3589242705382292,1.8551158736060769,4.240278834859582,3.340394772587582,3.669731944317495,2.213279000794348,
