t_index,date,P01,P02,P03,P04,P05,C01,C02,C03,C04,C05
0,2025-01-01,0.19821673375973026,,0.8975047266834466,0.7534915451748989,0.44092919536264774,4.910376021154745,5.303381099843386,5.860574679616409,5.190139579712975,5.308533140516935
1,2025-01-02,0.3997844632748895,,0.8210639037627411,0.9874269895253704,0.290837439463262,4.401539127484987,5.836109579552187,5.500369271713618,5.455301726629683,5.775819909841638
2,2025-01-03,0.48655704834188945,,0.916030244151421,0.9843290827150236,,,5.505720210896722,,5.020624528897065,5.56388132094902
3,2025-01-04,,,0.8867420762718461,1.0,0.19593848420720084,5.624093687591345,,4.9123721888598615,4.092055555584695,5.3928581497031045
4,2025-01-05,0.4504200098661939,,0.8984673148054184,0.9530840105869344,0.3077013880104049,5.471363741677228,4.017285316256274,4.3452792556454956,,5.581409458778709
5,2025-01-06,0.3975586517646493,,0.7484645825769894,0.8522728547350433,0.18447646081261415,5.574814366023442,4.221139346151089,4.5856708008448805,,5.442510305144223
6,2025-01-07,0.3329898305926697,,0.602436012805144,0.6773207349313325,0.18082827449535635,4.814102969732335,4.499885051033929,4.00097265862513,,
7,2025-01-08,0.4262800511154698,,0.627640917112561,0.6408424165274427,0.06709064442937285,4.917573113064579,4.19530928047699,,4.5915937255365495,3.9090486628852443
8,2025-01-09,0.3793649216324366,0.6476760730418424,0.4940474810109602,0.4790089503218149,0.18666200968659916,3.877529585826115,,2.9750792700593673,4.59128599150815,4.299874746255523
9,2025-01-10,,0.4739321690477555,0.34391502265985696,0.4794210672553392,0.08491349363809336,3.5133289314805323,,2.406513233533579,5.060934510916446,4.756545820732711
10,2025-01-11,0.6515648479087894,0.5124166747908182,0.3647500758141094,0.42166393710278743,0.1852524439588197,2.6613840766127312,,2.5014424196809273,5.047015241258391,
11,2025-01-12,0.6298440636618081,,0.4363743670876955,0.461830115962794,0.23650484332151717,3.376574686519759,,2.8245644347091408,5.751062195249673,5.509342229688093
12,2025-01-13,0.5023368490513324,0.5755778322518181,0.35440659770648414,0.5211177834616101,0.20388279699903566,4.24955960081832,4.724519835350379,3.6699904938007797,5.420243477817997,5.948060781248421
13,2025-01-14,0.41862955145493147,0.5832214159091021,0.3140007929479605,0.3761928178998305,0.0,4.042378164596456,5.073433844345885,3.4367774539103166,5.691095491792541,5.52071365095355
