t_index,date,P01,P02,P03,P04,P05,P06,P07,P08,C01,C02,C03,C04,C05,C06
0,2025-01-01,0.7809660618527836,,,0.7178039060807626,0.5230648204773033,0.40351893810090705,0.5926371685361499,0.4272925456393295,5.2580690967317505,5.147481278739025,5.760124108526613,4.1859945916721895,4.939072729081955,5.710145099928222
1,2025-01-02,0.7729077823661736,0.3292511763586451,,0.6710215750847781,0.46898866833730374,0.3220704644690833,0.6191484851273663,0.4228970029808659,4.764112381803185,5.112142943286852,,4.137946573733373,4.602111112044186,
2,2025-01-03,0.8907307909360476,0.23063303451405193,0.34429437100549,0.5193840004077402,0.37778912076924986,0.47813316869489525,0.7124768457754707,0.44842339844062484,5.360710391634348,4.710885364375773,3.64400373713849,3.3984551051815366,4.019593679065253,4.3400548211073735
3,2025-01-04,0.8407519596685242,0.22664979806171928,0.3973487841903997,0.4575739963054986,0.43183266508736184,0.3718510390121959,,0.3332877739478424,5.331486617163905,,3.2622642680741833,,3.849093115441096,4.5652539088525685
4,2025-01-05,0.9281002410442146,,0.3216231200567774,0.3901369182241511,0.19629409130749512,0.29701563431000066,0.5482612501557613,,5.519346144227418,4.336793907713594,3.031293095911725,3.1023861832630635,3.438698325040672,4.383562138704849
5,2025-01-06,0.8154194330319097,0.23681700829021993,0.24293137680565624,0.2697140043940992,0.15031310639262202,0.20556302928578316,0.43429441057857887,0.24741856256847305,5.204565483459987,4.427100597060219,3.1447789933459,2.503770185640653,3.1184910323516273,3.8934005250821513
6,2025-01-07,0.738556924665492,0.22278928124121866,,0.09766187620835273,0.15179882645460535,0.1591509211811233,0.4035810542730977,0.1608997459525408,5.471859827629636,4.562413190550418,2.8670468632466126,1.9170035578096263,2.797975433496591,
7,2025-01-08,0.7259712423019121,,0.2098546051410668,0.025764511641204274,0.16822930753541485,0.12509611337216422,0.5105372623108209,0.2224059555984928,5.733421519326549,4.543433988526919,2.0493349933655383,1.7663578346859963,,3.008880831958296
8,2025-01-09,0.6555905317818254,0.3340364600749399,0.2882341685714959,0.0787459527986072,0.20721819452055157,0.0,0.43322142837745153,0.2532331678551002,6.043791727584797,5.092734640345962,2.4228116146213656,2.3908207670355806,2.8141382101248076,2.6727926287363397
9,2025-01-10,,0.33859127643749687,0.49893953391750756,0.1286126369003895,,0.13238903911752173,0.5196928090048895,0.29459779840571154,5.011272784182936,5.183069886498854,1.8592354646921392,1.7840519410618054,2.2353697828671866,2.209960034385418
