t_index,date,P01,P02,P03,P04,P05,C01,C02,C03,C04,C05,C06,C07
0,2025-01-01,0.16348951535719047,0.688912300026577,0.5350291047245948,0.5574219618521493,0.4145233900589451,5.070259491941763,4.21580560032858,5.907487747353772,5.182131335212899,4.603086844900008,6.468015559315071,3.993797954769851
1,2025-01-02,0.2131491251627948,0.30820231404420645,0.41080802693393204,0.36289364432504756,0.28262913197646444,,3.9241264508164337,6.073459980892488,9.491123105722453,,6.370699812315315,3.877483854668345
2,2025-01-03,0.08627368927647883,0.2077440727269127,0.3459036321799786,0.40800726259953257,0.23916829485019042,,3.675533948313414,6.4533121369357005,5.305972038259572,,4.462418546453629,4.4835318977597725
3,2025-01-04,,0.276878933430784,0.26965806406705856,,0.06811938367885711,,3.4643149624597704,5.277597821197871,4.845712507041098,4.767348149705272,,3.924338338591274
4,2025-01-05,0.25125256692081405,0.2641102449368349,0.2439117886854608,,0.0,,3.4384921094060816,,4.553533131843338,4.473362089856807,4.795218279191187,4.7155685537287155
5,2025-01-06,0.3778833162141873,0.2002440015126416,0.3196191726391367,,,,3.9215386326389403,4.766513402212393,3.679323435795537,,5.009817443708025,5.1918525488746985
6,2025-01-07,0.3296952674041747,0.11510111803186315,0.10107237936538505,,0.0,3.749201336938499,3.854405642358498,,4.276796035298845,3.7097614052373844,4.156903219424891,4.771357995116373
7,2025-01-08,0.291468113598579,0.233450109229201,0.0,,,3.5426728487426513,3.543041685405401,,3.573063075960757,3.329980494871183,3.0901254470624537,4.595457239356739
8,2025-01-09,0.3836705293743357,0.09199028392460187,0.016259930406269697,,0.05859914705792583,2.5930674459583187,3.3310500345468306,,3.053848840264522,3.5622724929326934,2.7715754940858974,4.2480705219079375
9,2025-01-10,0.32331092202020717,0.0,0.30090376383679673,,0.048932368678673704,2.35490450188603,2.640903651737747,,3.150292267801705,3.45889685448092,2.831624747351497,3.524558321106877
10,2025-01-11,,0.0,0.2741951333379692,0.20340321830348876,0.19495482790388038,2.537729547793426,2.5044624927703447,,2.9805026508414874,3.9776917445237086,2.6615553933626606,3.1680563357720715
11,2025-01-12,,0.0,0.08673343696670335,0.2614622889265159,0.26789191060849715,2.068009158827683,2.3518954798919,,2.4511935842115418,3.627974577244676,3.5256275500069654,2.8759014258135047
12,2025-01-13,,0.0,0.08195759112392892,0.2690682353159569,0.3627446198280342,2.9905352966496754,2.674002104068783,4.2315060924893215,,3.669524255300683,3.756736934236507,3.152588585974568
13,2025-01-14,,0.0,0.06488148806374215,0.22490813998252165,0.3793505743799369,3.591756050084846,,4.149979855485241,3.2590238592977983,3.3851877859381703,3.1009904910896613,3.2949626968720414
14,2025-01-15,,0.020709091091801232,0.08116351860925111,0.21681270605321715,0.5020671199522654,2.471636794644964,3.061096433900406,4.738955821568492,3.1262089292759505,2.872774623261394,2.903646047636221,
15,2025-01-16,,0.13943502143470746,0.0921417948887106,0.2260411799861278,0.6617652080050329,,2.0312636241678477,3.6990701852647954,3.907930863224113,3.2652451893451313,,2.371092972668809
16,2025-01-17,,0.07360723551249046,0.20142634572278686,,0.7208290239482795,2.43112714193469,3.0849543287065724,,3.6284415713082887,2.8703513566539387,,
17,2025-01-18,0.16261594329416343,0.0947152822348496,0.14986644915631572,0.3696783580327173,0.758919111132163,3.4747553874173316,2.860981108004235,4.434040066097956,,2.5199836976455936,2.161434586094482,3.381187390137848
18,2025-01-19,0.21469655322981446,0.04018629305177939,0.17745231420497137,0.2984018210348014,0.6520406851399617,,3.639026131127996,4.15149784360845,3.7742074802382204,2.0501479363117534,2.790489813638628,2.4082769633010046
19,2025-01-20,0.20323101267620525,0.0,0.17776656318694084,0.1288283737255567,0.5338803269366484,,3.6004393397472487,4.360293156562366,,2.8902960404450635,2.31206972796341,3.0540703251350565
20,2025-01-21,0.16501723300454338,0.0,,0.11992584247321178,0.5412546232736374,3.86750884450865,4.010845088587353,4.662978461856298,4.045834281757783,2.9395715902362607,,2.62531617290995
21,2025-01-22,0.007980790500546286,0.0,,0.13591860907074932,0.4393364089971164,3.171516522197746,2.8141243048529034,4.215524119966957,3.8479186370342258,2.942898672310848,2.4683937164735346,
22,2025-01-23,0.22327994567608833,0.0,,0.0,0.45387691108870726,2.7044567894271974,2.7271603434139933,3.997264531893467,3.2765208815214812,2.4396288740447125,2.9305335667454697,1.8216122742804202
23,2025-01-24,0.29475121530152654,0.0,,0.16975889010640605,0.5002061822484055,2.8578341786134787,2.749301823964612,,2.748672114586358,3.2274865142678095,2.779533387923361,
24,2025-01-25,0.4469584659344547,0.0,,0.14717451652593255,0.4769408242775911,3.6164391405067904,3.219032832649486,3.4155655776862694,3.138448557836121,2.8260728462661757,2.483760571842431,
25,2025-01-26,0.32839102126722775,0.0,,0.1285405653772426,0.38398070288664776,3.5765247422368733,,3.7092436687617916,3.8658196372543507,2.7547523342518234,3.6285787000117984,2.61182390744354
26,2025-01-27,0.3099241051115971,0.0,,0.19714060649747522,0.3615930365976971,3.7068295391900703,,4.4838118794149,,2.3667056512363085,3.671604205603884,2.7578302485100066
27,2025-01-28,0.22845084818990302,0.0,,0.20094215342191254,0.3527106106485652,3.834121981804866,3.933016121564919,3.905292757388003,3.942411743457884,2.680538380833236,,3.2938550913594797
28,2025-01-29,0.21766075464827425,0.1157151946526209,,0.15398486805241293,0.28580985296233036,3.9089522767400435,2.7181568353752352,4.112048473444551,4.120685568934653,,3.3553310983360847,3.545709573052894
29,2025-01-30,0.23475794829831256,,,,0.1042559053343939,,3.1509387591553524,4.3725413027939855,,4.0450446388727626,2.926363018065602,4.903888468519138
30,2025-01-31,0.26421648968843414,0.31536891838906816,0.6261670032955047,,0.11386328001303078,,,,2.619889487156441,3.6090412966088996,,4.22456538237858
