t_index,date,P01,P02,P03,P04,P05,P06,C01,C02,C03,C04,C05,C06
0,2025-01-01,0.8279208143147843,0.1281220877492389,0.3267960910032558,,,0.5972842838329029,4.388644808500261,5.442210750372905,,5.387930296225345,4.882775655298622,7.065926450686155
1,2025-01-02,0.6233023252708492,0.10784373299836364,0.37438074329452764,0.4436370734776845,0.6349655777955945,,2.8995222982583204,4.618218633929671,5.20687931484718,3.983197113368275,5.078710499950534,5.606408246814608
2,2025-01-03,0.5053356117828935,0.07306450518643628,0.3956480261328235,0.27130206550054947,,,2.732579872287995,4.330726026073362,5.143181589494601,4.057752536383476,4.600992299974342,4.091322868399865
3,2025-01-04,0.4984611011039558,0.19368045959890423,0.3343828706808866,0.15748412947163326,0.49915656609966713,,2.668696388638637,4.374006832683768,4.7678890637626035,5.352717652191865,5.379985632288367,3.833618095748638
4,2025-01-05,0.49875940173811234,0.2833066908598013,0.12042782378874198,0.1411330853447941,0.4446672459920841,,2.026627232713858,5.245033419081608,4.385050822903784,4.657386913458364,4.168051849397663,
5,2025-01-06,0.37310378082371504,0.13563190740420356,0.31939049744562387,,0.43712289974138585,,2.3287440107527067,,6.138089008374767,5.180885089103903,,
6,2025-01-07,,,0.22321567329618786,0.0,0.4374197769153896,,2.2314098100856246,,6.354269663800298,5.563785342998234,4.256829049478776,
7,2025-01-08,0.18707226377937278,0.29294847286189396,0.4296918815996401,0.0,0.33307683241632113,,,6.189363596887253,5.7836867408276555,4.881098977833428,3.9055154577085722,
8,2025-01-09,,0.35728760592387665,0.4815879006411276,0.0,0.410183454687629,,2.6864311770010265,6.290071738518296,4.970651263036647,,4.230875948414516,
9,2025-01-10,0.361140551587718,0.6591014722861237,0.573700835482586,0.10041137661375582,0.4238201020768696,,3.696325707612546,,4.863695402844302,6.5636210148192164,4.8463337902304495,4.9808790999216885
10,2025-01-11,0.19573649314580846,0.7193252698887291,0.5381549388901304,0.21282736761667562,0.6571038080635295,,3.5250268796890216,,4.3721174399611265,6.045227116872872,4.424784984379897,5.160003859806928
11,2025-01-12,0.16155669307036005,0.6011468821027666,0.4392206779839336,0.10901935501101996,0.5908985587168375,0.07497101652517593,3.0403555569591116,5.177244915244494,3.364403366863369,6.028130412280304,4.3749943603531,
12,2025-01-13,0.2123531125730649,0.5492860452774987,0.5037318221787305,0.013988483271138163,0.5385500956979891,0.0,3.6976558806259554,5.098495260376354,3.927689574312518,,4.626796434150719,4.798164351303341
13,2025-01-14,0.12573234342207418,0.5075233969564182,0.4301203125522418,0.027795782888856823,,0.0,4.305931405728174,,4.286673209688761,5.18808046476548,4.029435123685527,4.930676141925912
14,2025-01-15,0.1846927728792248,0.470838413665562,0.6233466416946605,0.15006021283174215,0.6581398576031441,0.01930455952817537,4.234402379139268,5.876030671136334,4.275820350325835,5.848098933544612,4.278060453010728,3.988124894672325
15,2025-01-16,0.1857789972606839,0.46536504768585396,0.5821687973723461,0.18894306823784662,0.6622650275394931,0.06006189833270631,4.792637442496273,4.558511420068125,,5.585384007636771,3.471833061946414,
16,2025-01-17,0.20013361181622488,0.27875678106322666,0.7219333187478265,0.29931046060136485,0.6297101961304347,0.11112048261369667,5.020862285033857,3.5144602009044075,3.182858126557707,4.620427435419805,3.462956364390727,3.3565023671332805
17,2025-01-18,0.2883018064920599,0.38419834792637775,0.5329695847092262,0.3671826565122011,0.6319640326092508,0.18913299735757744,4.800639243365032,,3.586640328343287,4.413190475164807,3.611221262352824,2.9832021244292743
18,2025-01-19,0.21936470492663138,0.26051660059204995,0.46277908063317785,0.3598306289580567,0.5285032493691375,0.11672713216164815,4.372102317743353,4.231956509201377,2.961492319075165,4.345538033888702,,
19,2025-01-20,0.115279019354562,0.3384329267364399,0.35353662260756646,0.14777660484763247,0.4884764406215458,0.22550528262696673,4.199027679378414,3.88764926956431,3.256340963874662,4.444172335046103,,4.456673479230196
20,2025-01-21,0.0,0.2567012959645628,0.3767448078679089,0.05985590114383246,0.35327944693261754,0.24666743270825553,4.93871253206822,4.343747991875151,3.733246652239997,3.72762720391901,2.1943078906707116,5.030233756611147
21,2025-01-22,0.0,0.11126622510378814,0.2615683677976102,0.11770361320771972,0.30005702746383806,0.22139413357044466,4.981374772530054,4.345369895931586,3.895891660802328,4.157103927820711,2.898304145532819,
22,2025-01-23,0.006410642715803293,0.11440074515673045,0.2673239169810312,0.19770782138588935,0.24567308101800395,0.17018083659615202,5.167466699244176,4.970977772115708,3.9886679349454313,3.354477991464379,,3.5784893271034273
23,2025-01-24,0.2596978629186191,0.09441783676055895,0.32613897511274026,0.2728756523892769,,0.21538794344983062,6.644140089902878,5.869790872656208,4.063782592071154,3.81706600132176,3.6917683185674415,
24,2025-01-25,0.27396260702747977,0.15238129794167948,0.37782644365014023,0.27704015767719753,0.47440363107403416,0.20592397759053144,6.492345221130517,,4.421686198021219,4.132754109341125,2.9731382187724678,
25,2025-01-26,0.18887307357271696,0.14902861904888792,0.37679288640626996,0.24999180429711088,0.3954710179589328,0.16496046042650359,5.683063528816712,5.595397193239249,2.166855394991859,3.20073178929143,,2.9278863276411826
26,2025-01-27,0.08630751621099744,0.1746287447448255,0.3911606140664232,0.23125819066781972,0.4317715076094738,0.10053909081480839,5.976356851239734,5.3196251611974334,4.270860102525646,3.720102175066191,3.4729691123067883,
27,2025-01-28,0.10288377425909295,0.18125448812966521,0.41327781205975556,0.2516857456973536,0.38067891335291126,0.14070783966666872,4.983604081724152,4.858875178292343,3.3526028605450953,3.4050046684853466,3.3056767237422044,2.913334840985134
28,2025-01-29,0.059874438184238495,0.18501486366712022,0.5317012574030707,0.3273037456162161,0.470773194824729,0.27756876742092784,4.765790647028479,,3.743608532505369,3.22995173049255,3.2484052459196167,2.531530479421159
29,2025-01-30,,0.2544852627412042,0.563609487758192,0.286894796422551,0.6712422648449204,0.2596829628735667,5.05200358837495,3.69371079800903,,2.5162235398927266,3.6161067883005114,2.235687569753937
30,2025-01-31,0.22942152491626655,0.3192135298588581,0.6184042396557871,0.32409433147896993,0.6790322885699729,0.1954100754550652,,2.9156199921851726,2.7262469445677384,2.2465152541652094,3.106592964119553,1.5848603087971953
31,2025-02-01,0.2220566099634873,0.3521307835480641,0.7753413633661057,0.19599864375562137,0.6030258452245262,0.21263044115526167,3.415538776221251,,2.724753241600617,1.6250595524629845,2.675765365933155,2.137274456968183
32,2025-02-02,,0.46237890777668467,0.7384068488797616,0.012887024957966564,0.5761644887901031,0.16565978478159307,2.6725839147758355,3.255698262205078,3.8945966372554968,1.354059212267979,,1.672123195678075
33,2025-02-03,0.05421820394848906,0.5291364484368446,0.6796585183735805,,0.4479316061887726,0.2965097333040384,2.413242383749726,4.0946428437740625,4.392007398994786,1.8406665905068378,3.513422679501042,2.291967684196816
34,2025-02-04,0.02445447876410407,0.47876291283350314,0.5859944393502388,0.3065033625547127,0.4027050071164248,0.23951903770640717,2.645838726932818,3.0941773921055766,3.167914687960039,2.530627524122097,3.4388527384392096,2.2112948768202942
35,2025-02-05,0.13120383584670864,0.5165485393371957,0.544421475976336,0.33325468526491736,0.4726793809782099,0.27019461913963294,2.7409077992722324,3.0463535180230816,2.9646893912946686,2.7631243795128744,,2.2039744700035864
36,2025-02-06,0.20690526209695012,0.4965018236916451,0.5116768440278152,,0.4071810289683503,,2.4585336465216083,3.547910311545498,2.6511783429287314,1.8904632960503764,1.7789056364507188,2.0279215463476543
37,2025-02-07,0.27595064507094136,0.4585910525322763,0.531556926273794,0.41247075115018783,0.44166528166341806,0.2666481493297935,2.42008549182852,3.958536326207316,3.440148710921771,2.471458662216204,1.7248431043421228,1.7149184555458004
38,2025-02-08,0.19997331895913462,0.5696586687014455,0.5398111290404838,,0.42307385243583484,0.30424525941759023,2.740876954193791,3.9896644529583125,2.998750091216384,2.409191383722978,1.5426404152949036,2.018258527618902
39,2025-02-09,0.07003022970351909,0.4699882181272193,0.6400536392475723,0.3506203237928338,0.3682436617984777,0.23713780413852023,3.2683964297488823,3.5845611266452866,3.7815407253984823,2.5141108041182143,1.9740919961341485,2.217895278543959
40,2025-02-10,,0.37213382860034944,0.5833019425676783,0.41588505124119224,0.3138544162689813,,3.3925932536068,3.555818980010383,,3.2573889098572475,2.1892247486537526,3.0902573781568994
41,2025-02-11,0.02879069459382299,0.34978760260851677,0.5224732008264051,0.35348540213259605,0.33521938919530325,0.22679117406014737,3.215576988982046,,3.991640463292791,3.8475635093311182,3.0979677235565366,3.5748981217693174
42,2025-02-12,0.0,0.3367114923111901,0.5343734003581627,0.4208600490596004,0.24749635206490542,0.20417187645020324,3.118428446902603,4.477502395292931,4.778761607836584,2.7553901644331917,,
43,2025-02-13,0.28157373416107195,0.2707508728266133,0.4656881666829145,0.4832059568721597,0.21741133327731307,0.06717626866000351,2.73860096392512,4.304960157972532,3.8563546438107226,2.7958620370652922,,3.564940703393812
44,2025-02-14,0.31755413730579685,0.2734112937183916,0.38567467239893594,0.3155473540947503,0.3737286583453655,0.20908250488467212,2.026908618286771,3.360590966853257,3.51113149203033,2.185901172464253,3.045307994972946,4.482465400241496
45,2025-02-15,0.23879525595070608,0.23831123384019132,0.39556054151082504,0.21992657609704708,0.5238032569081759,0.2203244077448407,,3.772590778765619,5.21750654860193,2.5806272568893323,3.062488763282322,5.380869782713878
46,2025-02-16,0.21197603379685837,0.24067348121139734,0.4477294534356229,0.2536191998648423,0.6245276259374359,0.05422642342131739,3.2079257063287696,3.4784035037220318,,2.7722383533097035,3.265125944010576,5.44189766121878
47,2025-02-17,0.10114377390620205,0.1995812368231568,0.4479996040239661,0.20775063807586225,0.5156739502971885,0.1034645067323808,3.387368542075689,3.9150656310254024,,,3.0197078347880546,4.503642294623528
48,2025-02-18,0.2610032478881614,0.1917308685561434,0.44266649229461413,0.14609725491574563,0.4448379492061033,0.036874999825094165,3.3325986098499594,,5.867878769117131,4.255088474323188,3.3595440628456297,4.367840955234736
49,2025-02-19,0.428069944200146,0.025209914823435015,0.46241990887811374,,0.4552061297655001,0.0,3.594406817347598,4.210459086538184,5.509022191911487,3.9897821961159363,4.1090195548061725,4.561694319941035
50,2025-02-20,0.21070540902101806,0.13645832876617617,0.57644524585386,0.20388494558651968,,0.0,4.012066585814983,4.08677221374907,5.419167416547181,4.45785500712323,4.058097373231507,4.9475148661213275
51,2025-02-21,,0.15080942287149002,,0.40205878194492845,0.5795701399455968,0.0,3.382941434609003,4.244886703491937,4.908547794969829,3.5699511979454277,3.407865547424996,4.519147666808503
52,2025-02-22,,0.2038952720652084,0.6601800713067875,0.3455067725895254,0.5991496768738191,0.16605523139243028,3.303733569148013,4.025501061328433,,,2.3421074129622363,4.611763020788477
53,2025-02-23,0.11550703132485332,0.23865679383688734,0.6362090243495728,0.37671787951459457,0.6124404162342785,0.17653459700631172,3.8256442406000306,3.8513777621746583,4.1763685894680505,4.838609096065237,,4.80198927096545
54,2025-02-24,0.13460353794789004,0.1773578391593071,0.4741724725214504,0.36113239985638235,0.1932364536091428,0.11530191347797947,4.263843867303676,3.679858177211747,4.223055018157274,4.533848916136994,1.8736445588212882,4.626177262122349
55,2025-02-25,0.08503586861882165,0.22264988523754947,0.2972029008451282,0.4489535637921304,0.20806974894100122,0.1993309800169841,4.901010320077187,4.49449348951824,4.73338072423689,5.358291936799984,,4.75141459080124
56,2025-02-26,0.0802820414475163,0.3670855088038406,0.21639034610827593,0.36265764787523014,0.44822017520383106,0.26689864103203975,4.48766075874098,4.430273307941173,4.576092044582816,5.199044499051482,3.000253995515752,4.825067788612796
57,2025-02-27,0.07596353098229737,0.2546942370739524,0.3276576287502453,0.2466180445725742,,0.35383330955401615,4.236359759710479,4.4899200421534236,4.1982361318849435,4.96602698612988,3.058268807283608,
58,2025-02-28,0.0,0.2998719644139994,0.35947019752607795,0.29166595741414136,0.6452404617528832,0.282560457377689,4.101106076991366,4.445366682700055,3.8537845725167266,4.248220515931201,2.5631096269260945,3.359256979884438
59,2025-03-01,0.0,0.258013026044649,0.26331109309829276,0.4024769804192532,0.6591874301799143,0.30934048620633464,3.277122950649482,4.147054096710921,,4.426027711015607,2.4805600706134516,3.291958227067011
60,2025-03-02,0.0,0.22868804421519812,0.3271525534093177,0.3555485531461191,0.6399702550420233,0.4063707059017937,4.288063309600909,,4.1646281640615745,,2.072338961471763,4.024212341768193
61,2025-03-03,0.0,0.3531604824031017,0.382000270271356,0.2413390463889848,0.6641381578885153,0.2340086523317526,4.46110058449608,5.011542173755247,4.2765534344956215,4.394833311930914,1.531045179345175,4.444252623758421
