t_index,date,P01,P02,P03,P04,P05,P06,P07,C01,C02,C03,C04,C05,C06,C07,C08
0,2025-01-01,0.8042831519390701,0.7529399156303642,0.6952292844215687,0.4597936095630972,0.3846757617451275,0.2562709904938474,0.5139318884561119,5.306756613757598,4.854360774611582,3.12899223340746,3.291332323965284,5.10154622309901,5.14107480712861,6.014044345482614,6.387276261410245
1,2025-01-02,0.6844964728815641,0.5173822585646458,0.6676634933256709,0.41984416277598063,0.21787701346502586,0.265614969569528,0.40370199150449426,,4.288060974131678,2.8972803449380153,3.082914844982213,5.085560497517782,4.52218876823026,4.83562245219986,
2,2025-01-03,0.6786369662635723,,0.7367301577027897,0.42563343827947897,0.29307311695935123,0.2957515028404735,0.4370165484379136,3.862943160375792,4.093418562024171,4.0435326623998655,2.867925052987863,5.44728135648778,,5.305996736888035,5.2154536751084155
3,2025-01-04,0.6687476434305135,0.3830701657410297,0.5173696377930148,,,0.22916695979797294,0.3001008774147862,,3.536779477054174,3.474518165826333,2.877649634694015,4.468060460605093,4.827699497955179,4.663247408636885,3.9552584351283198
4,2025-01-05,0.5505967568315866,0.3120231379067852,0.40998040608696307,0.37534120106859364,0.2709493315319893,0.22045134503057773,0.23308423124199426,3.1768096852389442,3.0682740168248226,3.346111755710789,3.252695146388726,4.340134913322904,5.087530476599529,4.015435020260503,
5,2025-01-06,0.5392726804928364,0.20088500545783894,0.3772860464314034,,0.2795564933520863,0.10612220782749694,0.26100947646479716,2.5988868516181367,3.3811302523672304,3.2581445822049067,,,4.717829965025354,,4.447321424233675
6,2025-01-07,,0.20336090869283752,0.2704812260919717,0.3101324049283824,0.20760378395383605,0.11413302989100171,0.26648669599102476,3.2425104281060815,2.63487564023219,3.1763265092199977,1.7956280344607711,,4.519503466046692,3.508560815348736,
7,2025-01-08,0.5226145992688029,0.0895803438050279,0.17498919042330785,0.261828190946465,0.3176416023072437,0.1892537415234709,0.19776107466450654,,3.4311750944367483,2.479278351544946,2.9525696303868463,,4.607994536314391,3.622278991162062,4.245353300191902
8,2025-01-09,0.4974555119961266,0.0805764015787376,0.2073476318518585,0.4683591397394081,0.38855023043054737,0.24612082952122802,0.10197786351137574,2.4932057021566836,3.044286332677816,1.984161139410525,3.530731896194882,,4.858193846790534,,3.352287531410154
9,2025-01-10,0.5601911169015843,0.0,0.19614663041076216,0.3797940058556589,0.25377743749672205,0.4668915311552223,0.06292565283492656,2.5397730789647097,2.847840622570668,2.406712385462437,,,,4.711157312186787,3.8282571613200442
10,2025-01-11,0.43771372108049933,0.0,0.08718401897101757,0.3331578539982826,0.2102415517023616,0.37055207448765326,0.010436650611768905,2.011996466036321,3.124495970331064,2.052350431032915,5.186160354849868,,4.706301219882532,4.789546442120541,3.642235677195876
