t_index,date,P01,P02,P03,P04,P05,P06,P07,P08,C01,C02,C03,C04,C05,C06,C07,C08
0,2025-01-01,0.570919890142804,0.5197478087733995,0.753649143517763,0.34610781198340673,0.4560719340223721,0.7597249612997232,0.3182131132507069,0.6963654880258405,,5.044242439536806,3.9543204101836436,,5.588148486558306,5.404889384790631,4.609973638997865,4.865676071910916
1,2025-01-02,0.3950113167107876,0.5795157365839662,0.7227308596052064,,0.3084253690417013,,0.29126154507737423,0.7737078723101429,4.291699819461796,4.2952373253046225,4.6998838721761516,4.093095515795286,6.04769758854068,5.429059075983344,5.377813839418972,4.124055540537077
2,2025-01-03,0.4442949618416295,0.4319661086195815,0.572822248880726,0.3585180073695854,0.19500006927455987,0.7414545590155794,0.35334503057537925,0.7003164069129387,,4.664340967353699,4.5419598558997905,3.206533228642851,5.930906733292491,5.151477689984411,,
3,2025-01-04,0.29891816703196317,0.6396376736966194,0.5471862910182079,0.4678438717286454,0.01097562645595282,0.6080873923385317,0.329271985272917,0.514430576654579,3.075686079480211,4.18659247141492,,3.1791338238203926,5.377103494036409,3.833905159977989,,2.898859663031794
4,2025-01-05,0.21685852956747054,0.5900635416217552,0.43895418208828774,0.4505251422953923,0.008906624463073422,,0.2923224713300695,0.2195670465538394,2.1770349195630514,5.15534291295921,4.3384819192639625,4.241549434095325,5.954236795111353,4.854892232931211,4.800421813014999,2.6697588165776507
5,2025-01-06,0.2968010191106468,,0.368460796097198,0.21571676374241036,0.0,,0.2698322467785286,0.025192829847850623,2.424577787056934,5.779750282404375,5.275168945611448,4.230856630146962,5.516682531218065,5.64651415165598,4.946510593788253,3.4439822371316233
6,2025-01-07,0.17094762443353717,,,0.09490619323430294,0.006450738721164681,0.48206525074704915,,0.023370130483945144,2.920501898121368,6.480264662372475,5.558171887482118,3.1768536678322454,5.757832098602081,5.598256433145038,4.843245686231399,4.052292822807704
7,2025-01-08,0.23696357522712796,,0.4648287252779792,,0.0,0.3066442522744661,,0.15149312253969466,3.175962511164857,6.235988678984031,5.356223216228333,3.0164067911149894,,5.181454392548507,,4.605006124766288
8,2025-01-09,0.22214928319593813,,0.7886275238675484,0.0,0.0,,,0.0029431872273054105,,,5.750019029155017,3.0527599365795033,4.7302751920940755,3.9037221929884725,,3.2221262386822977
9,2025-01-10,0.1734650264352156,,0.6078582906654101,0.13605199712284588,0.00016524324026498394,,,0.08731900791990753,,4.10814201139104,4.782520023861793,3.8028964674689396,4.930480977388976,4.4135238370479755,,2.3416434205892673
10,2025-01-11,0.0,,0.6243752412655273,0.32319750889336135,0.0,,,0.14420394651880622,,4.230892588864315,4.489794336642859,3.19761646058561,4.4153432924751215,4.43693977231599,5.05359624013833,3.3316340910679285
11,2025-01-12,0.0,0.40275643594424115,0.5507788435651398,,0.0,,,0.26929529315667566,3.771040274206457,3.72912492252921,5.279001290985289,4.475258860467198,4.536109587087912,3.671815193347596,4.503865428909089,3.3026126225680152
12,2025-01-13,0.0,0.30709937241112184,0.3808602139740933,,0.0,,,0.13605062727408954,3.991136195072722,4.45369302625343,4.485710103670074,4.701669477336994,,,3.8889683318453834,4.230241570126468
13,2025-01-14,0.0,0.2551323235506182,0.19320540091694924,0.26172584936178395,0.0,,,0.13496647678499807,3.7557396974577855,4.617183203227447,4.372825863990857,4.143844717048547,4.646982697588687,3.173696302050853,3.5188599458761414,4.596447463285586
