code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Frequency of being sought for others' problems,listening,0.88,
C02,CRITERION,Difficulty requesting help,askingforhelp,0.84,
C03,CRITERION,Emotion suppression / masking,emotion,0.62,
C04,CRITERION,Delayed breakdowns after suppression,episode_emotional_lability,0.78,
C05,CRITERION,Role fatigue / resentment about 'being strong',feeling,0.62,
C06,CRITERION,Boundary-setting and refusal skills,protecting,0.88,
P01,PREDICTOR,Boundary_setting_and_decline_scripts,boundary_setting_scripts,0.82,
P02,PREDICTOR,Assertive_help_seeking_training,assertiveness_training,0.72,
P03,PREDICTOR,Emotion_expression_training,art_based_emotion_expression_practice,0.62,
P04,PREDICTOR,Self_compassion_and_resilience_training,self_compassion_break_practice,0.78,
P05,PREDICTOR,Sleep_circadian_optimization_and_awareness,actigraphy_device,0.64,
P06,PREDICTOR,Mindfulness_and_ACT_based_regulation,mindfulness_of_emotions,0.72,
