t_index,date,P01,P02,P03,P04,C01,C02,C03,C04,C05,C06
0,2025-01-01,0.2850479684195879,0.7431005616105925,0.7757719588101152,0.7109162186361622,4.179704921114065,5.407304198543133,5.240309715638953,4.97035794319538,,4.406333545685127
1,2025-01-02,0.5702997851963434,0.7069771708824022,0.8857899349744112,0.5508672012311924,4.335243549480338,5.771347768270246,,4.502436362010508,,4.335116295591049
2,2025-01-03,0.36972009739704026,0.6952329799309329,0.9171121072742353,0.43898081770799435,3.9978625215003794,5.967080784916498,4.5828082446940135,,,3.456287823011827
3,2025-01-04,0.36342171354312786,0.5778022254350388,0.8794946744348575,0.3540407191991965,3.420670916202744,4.627575998996711,4.088950716012191,4.222659247750909,,
4,2025-01-05,0.36450749498397056,0.572067157223485,0.8787764931556411,0.28476704953484844,2.2072373965749716,3.600300551541849,4.466973255023269,3.9304662178643,,2.0737186313112184
5,2025-01-06,0.4444222800065909,0.5117747160852458,0.8008807095715141,0.34857810731472005,2.032690311359064,3.4884757656340293,,4.279226662818152,,
6,2025-01-07,0.3808860303002838,0.5029426661856159,0.6298775083027739,0.21720939260411617,,3.848004433758408,4.3047638129370585,4.144917716851496,,
7,2025-01-08,0.491662348624587,0.27916032432262206,0.7704940962053752,0.08423623746797056,2.402178938173253,2.9081293688052225,4.135328545151445,5.0424079141133795,,3.089819916017732
8,2025-01-09,0.557714220311601,0.2868940331389223,0.6973264661598562,0.14606705018128752,2.0193586528469116,3.2346889873254145,,4.710065056478056,3.5382349897500602,6.1601307722565295
9,2025-01-10,0.3483219768020697,0.11074230563649112,0.8035574698974334,0.07192153369047159,2.133339309499399,3.0266921003197047,,4.7254170998240355,3.261250496267938,3.1677220722087314
10,2025-01-11,0.36223783204612464,0.14738177589202592,0.8533220935901465,0.2531305251924194,2.8251677823119805,1.7148508658071622,3.038005726125169,5.259634628345466,3.2610108782230887,2.9270597059557177
11,2025-01-12,0.5163926695116973,,0.702708565434113,0.17754021814892496,1.9560312930771615,1.5657429129310365,3.066538732519342,4.765697020767286,,
12,2025-01-13,,0.10988263488275406,0.6352376180857159,0.23175784946448974,2.0739342353028047,2.6900715966958093,3.3345581305195284,,,3.4822462863125847
13,2025-01-14,0.5359806621736253,0.20133278783094283,0.5981186695586416,0.17659614300597862,2.305332843898527,2.37353686312826,3.4038693928873114,5.1805552100216685,3.3536781818522883,3.450318162662657
14,2025-01-15,0.48978460470996166,,0.5613789813063936,0.24523157275783553,2.016309512799993,2.8340696250927078,2.3229394573280273,5.48068623110232,3.1162836904635056,2.6092336768937003
15,2025-01-16,0.5476980784172192,,0.5543491465787989,,1.7032583400462058,2.1244819739827157,,5.010124456257481,3.4246492051787634,2.457315619390517
16,2025-01-17,,,0.5825434402909889,0.46401794228776644,0.9653710296744118,1.62462089114964,2.723777523848953,5.079647321653936,,2.4807878357417774
17,2025-01-18,0.3448097112129209,,0.48092966820141714,0.2537298777320971,0.7160286700894452,1.8559117128932061,2.5840860459154946,4.886117721647369,3.1925676081207985,2.791731813300312
18,2025-01-19,,,0.5782159447976996,0.26954206092802274,0.9852181823737396,3.374507266523456,3.5975864972572773,4.177300940594167,,2.781446468076132
19,2025-01-20,0.11009945322963823,,0.6097652525566453,0.27043796346196214,1.3742464176728986,3.0401393434165365,3.2872404090664764,4.47505898709595,2.064111275537945,2.769097823257996
20,2025-01-21,0.19049196746758035,,,0.20851848003851156,1.2706882613093986,3.0716394146865964,3.47869174349913,4.883187854063068,1.9829754617925754,2.903559080601108
21,2025-01-22,0.1463648803961467,,0.4923524665284675,,1.233371995364519,3.4529866592037446,2.8652561393016516,,,2.6809976165797753
22,2025-01-23,0.24505316682965533,0.0711958680714708,0.47307246697547906,0.28730873920566385,,2.3261267819787528,2.0240065382723533,5.308675182819068,1.4572310628186425,1.8649241030574202
23,2025-01-24,0.23360861386440263,0.017302198843503466,0.35976352387498733,0.11828324287521366,,,1.9738065820191375,5.162007858710277,0.9746189374134782,1.2323041675492088
24,2025-01-25,0.2166292502138204,,0.40495111888137914,0.2044646676933064,,3.1720499008944616,2.37179332474271,5.243458431271132,1.7122171044427157,2.500772351333566
25,2025-01-26,0.1678410934471118,0.20257373822156127,0.45961865057007045,,1.4901692119608674,,2.5255403274403134,4.882657671075744,1.5443798141979028,2.658362947202853
26,2025-01-27,0.24432961336688705,0.0,0.4845217152463563,,2.0803202858284786,,3.5846142001266488,5.779148166202313,1.5788340966401935,
27,2025-01-28,0.28847991339129514,0.0,,0.20138489544743082,1.91188051678997,3.2609335416364544,4.8638229642773565,5.122775310793234,2.315220181026616,4.031693429867051
28,2025-01-29,0.34905042769819256,0.06263830868348673,0.6369277588209994,0.11403833516621088,1.8069661767352119,3.768748098042085,3.592865076857965,5.051985422850807,2.1307465479533754,
29,2025-01-30,0.537787422906168,,0.6437201357088977,,2.316605623673407,,4.062110482992265,4.488345710460825,3.1008916386431022,3.9018652001463785
30,2025-01-31,0.3668043527132401,0.0,0.34746926053237737,0.16694359830965763,2.822525192285683,4.087019943269058,3.910192858760057,3.9454891032027444,,3.4758178021707287
