t_index,date,P01,P02,P03,P04,P05,C01,C03,C04,C06
0,2025-01-01,0.68486009244287,,0.6848116824450002,0.3248654548186475,0.3557373278395422,,3.6469902190416903,,7.355987953016383
1,2025-01-02,0.7245436764062269,0.8453676616563764,,0.17755655819427707,0.23602818217787563,4.987813674918379,4.366278671091303,4.378551025323779,6.498379190672063
2,2025-01-03,0.6388244373805582,,0.6447547667999567,0.21320421538583859,0.18744352358135774,4.534895323683912,4.297433203228736,5.225587446330146,5.253401865350099
3,2025-01-04,,,0.8148700272874714,0.24713238756803801,0.16269702608875097,4.2517527671718565,3.7425594591530333,3.8666751547980502,
4,2025-01-05,0.4568769388818681,0.9120312448334771,0.6531419926084375,0.30728215627642286,0.24399169444580587,3.6084737439045083,4.023997578383388,3.010937312499043,3.7244862375519094
5,2025-01-06,0.27291931649545587,0.7544571680472089,0.5376748995793473,0.26609774147503296,0.2720599200048863,3.1942111761327787,3.9370496508215886,2.700172332933512,2.7471098150549724
6,2025-01-07,0.34561910239544913,0.8181932550609032,0.593237005930686,0.23649093714331712,0.11668954743873558,3.3951163662836086,4.182492317778599,2.425435851797703,3.2723437426709667
7,2025-01-08,0.2193566313274988,0.7484322261816799,0.6917125457115147,0.33594407032789303,0.1953339701487985,2.8987858098034156,4.224627554938915,2.4574889434348064,2.938193073660158
8,2025-01-09,0.14693986595290506,0.6313387493761966,0.6283060532198154,0.3472338792042246,0.0,2.4077145027936395,4.166672741153064,2.7061406041693816,2.2818970853678846
9,2025-01-10,0.31719452861222525,0.5973228629964535,0.605174663055679,0.36790206301884637,0.015319878940675286,1.5432761853149435,3.940286078579166,2.2853007803997563,1.7591700191208863
10,2025-01-11,,0.5525484709177405,0.5417988795152385,0.3869562105374505,0.06407216119618359,1.1705932340944547,4.2578477281509315,,2.235885709903267
11,2025-01-12,0.36829511922826264,0.5684097905973172,0.5572241574896041,0.3467227359410363,,3.210113907999635,4.089714151975013,2.912729017248342,2.237654587999878
12,2025-01-13,0.3327846998589724,0.5610337489879635,0.41886981738574375,,,0.5110938802847357,4.7933407532662535,2.7155436877571524,2.0588183005334137
13,2025-01-14,0.4677195820065885,0.7511031714283127,0.4949700716364553,,,0.7528632786711051,,3.3466929127963967,2.800163328992971
14,2025-01-15,0.49501613952963136,0.7013558662453303,0.464877575757919,,,,4.952321103326597,2.433960383197458,3.236267771927402
15,2025-01-16,0.4422988355374484,0.6367994020075886,0.5500527303509971,,,1.7126708769311274,5.5013616314065725,2.8497880952613865,3.0180695621709215
16,2025-01-17,0.3769251946097266,0.6007975578007874,0.509239734072221,,,,6.1598944475746515,3.1254173646034773,4.237269930578707
17,2025-01-18,0.19546927136759307,0.6066715438957496,,,,,4.797585147866033,,4.141983355269616
18,2025-01-19,0.0,0.4919044304259965,0.5829890687245952,,0.5183393361236767,3.3833566038516003,4.8882069044641945,,4.821203772941079
19,2025-01-20,0.0,0.39060276259619886,0.5094825153802917,0.26940720973941606,0.5383598507878639,,4.516597918270969,,4.667951835346395
20,2025-01-21,0.0,0.3419923027693136,0.47925388746131703,0.3662367272050139,0.46930491558148846,3.194879064301714,3.804043638863016,,5.393619424002256
21,2025-01-22,0.02415596202878299,0.20930119539354097,0.254256240935397,0.32816755251033114,,2.9274206508830733,3.5940194718749505,,4.77162726291855
22,2025-01-23,0.1529497619017125,0.1973704290504915,0.2554704749794746,0.4386160724688051,0.44663579436758843,2.376852984358396,3.9266908611614904,,5.5476174649984085
23,2025-01-24,0.4563345563744487,0.28546535529080197,0.2898542231811219,0.6190458190609713,0.5234060005689614,2.0162987859624093,,,5.67156247622579
