t_index,date,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,C01,C02,C03,C04,C05,C06
0,2025-01-01,0.4574397975128188,0.5905672676517222,,0.1938061636647581,0.5897995400705964,0.3758956640108031,0.5818377949280127,0.7739511405105897,0.5113007153435742,0.34132468386491877,5.420023982283646,4.150648168499343,5.4202011299691595,5.06643808149125,3.2625607891534982,5.9651248603930185
1,2025-01-02,0.322947331580267,0.49669767316529,0.3244882164748373,0.19927694097525225,0.7776881369171879,0.4389833512683,,0.6341739569048244,0.4205911973941839,,4.716655326496677,4.219821836959057,5.231608274620163,5.105142782420148,3.439223358572241,5.493385950638915
2,2025-01-03,0.38161429926564233,,0.18089192400230203,,0.7885002157988421,0.3938811888534139,,0.6367026610918057,0.4243775204058824,,,3.7979571640137495,5.883992174266492,4.87212615605925,3.725435369772204,
3,2025-01-04,0.2669760570288403,0.4789896263573262,,0.0730354918677282,,0.24880225108067736,,0.6198514546921261,,,,3.496037571457838,4.648706179266781,5.376693733943399,3.7748944852518034,4.871830405003762
4,2025-01-05,0.2982377121483495,0.5217733748743136,0.0,0.15832776853356434,0.3516095615690947,0.1878438576799274,,0.5695777845537016,0.39412191260197665,,,3.2185569699368157,4.420687993550373,4.525136623372224,3.838247218783466,5.880677515298603
5,2025-01-06,0.196354163007659,0.5373826381941558,0.0,0.26400568559572024,0.3120360816477376,0.34992765920325797,,0.6369776239921967,0.3465292481846304,,3.0419397997559066,3.863491442682705,3.835411584651023,4.977909318359928,3.604680234894479,6.22381635090485
6,2025-01-07,0.018964673896643275,0.3219198922727069,0.05937528458865754,,0.2852880381906564,0.4231003597749537,,0.6540622284292975,0.21719459587338358,,2.9081369696988046,5.536051633561267,3.371690568835754,4.932234596899289,5.019470585789567,6.73267186360281
7,2025-01-08,0.15782288244862103,0.44047296892518667,0.214244619406868,0.14696831519821696,0.18218184155298378,,,0.7115710415363146,0.12526707173955387,,3.817830827692823,4.72986264794867,3.6964563389381686,5.4628806263903975,,6.177667621427341
8,2025-01-09,0.1438228627487821,,0.165054751622351,0.3590459724447628,0.31448227850974325,0.6528126170361656,,,0.1994469147585797,,2.6156535151058837,4.738216090060523,,4.835555944607351,4.690214467507734,5.079933349252988
9,2025-01-10,0.2773531382130078,0.223711465956379,0.3267935866376874,0.32791681925245897,0.34085678542682096,0.5335913063652514,,,0.07810924029874099,,2.7657643499235576,4.024431240929207,4.016987082462291,,3.960443581258128,4.217047488094156
10,2025-01-11,0.2144831197877665,0.26831192894334904,0.3520133990762028,0.289920777830569,0.3078738420952152,0.32263483283741656,,0.4094353038570989,0.099283393952704,0.07305026186319363,2.83391205778538,3.11789403689244,2.9025453079290244,4.5588096899401735,3.201360915247007,5.39146462327717
11,2025-01-12,0.17704273843400734,,0.09552034130289322,0.1675214983687432,0.295350397297136,0.44128584906111945,0.4042985150148025,,0.0,0.1108580770624878,2.9461775858447754,4.452907142890951,3.4772042827537915,4.503960898218841,2.8085961363584477,4.268657162934707
12,2025-01-13,0.23570675024372273,0.15211692538717536,0.17897628596623139,0.3691804951864484,,0.526393388074769,0.40091611005211447,0.3618566933641371,0.0,0.10822785371527122,3.629239276557269,4.297767450475019,1.9538230811465893,3.8793503468160218,3.12623868442388,4.821526823320443
13,2025-01-14,0.3055966991139901,0.1864151903345068,0.30520582380926303,0.29094381113885803,0.19933204842379593,0.4398520255765806,0.3252434083472761,0.3696132024236366,0.0,0.2623842058828692,3.742103701856151,4.275496116850767,3.3966781251852405,4.161509662379093,2.702418590586906,4.766070336299061
14,2025-01-15,,0.10226355539591747,0.08999081899963923,0.22516245113048272,0.21631219057967582,0.40824209406514966,0.344390266697551,0.4528372330650249,0.0,0.22869173498811304,3.6081640015076903,4.561890358184319,2.865916683745403,0.5506469199795592,2.618643168921169,5.377511896131477
15,2025-01-16,0.22636452743322233,0.05379793439030044,0.37038588784679893,0.18450269295255411,0.025725130528903795,0.4301983676189135,0.5868481322069282,0.557096693676646,0.10527188745607081,0.22936089259094344,,4.153028540528362,,,3.112231058939921,
16,2025-01-17,0.2554396335338087,0.13414556251433213,0.308221665990855,0.28252791661481114,0.2172568680004528,,0.6400152566413301,0.4876335342079028,0.0,0.40913099400873276,,3.0857210338844903,,2.9479638351005018,4.1796478832053845,5.230207004400961
17,2025-01-18,,0.3232527915048329,0.22358785190843153,0.07678906214446277,0.23988086754761814,,1.0,0.541207382597833,0.0,0.33081831641729864,,4.116278923620096,,3.0391571212080377,4.718634052961973,5.7351464114482
18,2025-01-19,0.2623886305963017,0.39605269492050976,0.19983845647196669,0.06288765016093292,0.24349224813405457,0.20791738204595087,0.9117108606720319,0.6361352667497876,0.0,0.44127354756863013,3.647436132935787,5.493838657479166,,2.6689441836049776,4.353044567123843,5.437564158936688
19,2025-01-20,0.29685553569454515,0.426776111039588,0.06207751925465799,,0.19729344989969638,0.15754782059369482,0.7270445588300043,0.5452707974624303,,0.3311690820232448,,5.455499382824587,4.43221053656921,2.740662506634957,,5.231241873094653
20,2025-01-21,0.0,0.34958385627890576,0.0,,0.24001683342618527,0.20480827362937506,0.6324268368014814,0.38623267476001566,0.0,,,6.105919883415143,4.124511950018651,3.2527358824486896,,4.765028760799341
21,2025-01-22,0.0,0.3588447397876206,0.0,,0.03340950011436697,0.272674139687834,0.6864127284929523,0.2791466159569885,0.0,0.16827213256781773,4.252297498834766,6.918912029038804,4.181960779813501,3.422556637200492,5.293827204164176,
22,2025-01-23,0.0,0.36507646176135616,0.0,0.0,0.20128334688768174,0.3491210499561356,0.712399429027714,0.3238649320377646,0.0,0.06957751350572422,3.4287753209559586,5.298343371499594,,3.7915319754370937,6.3352617391615755,
23,2025-01-24,0.060024584072043446,0.21225181145847044,0.0,0.0,0.2659194329114883,0.24652495340032224,0.6128323368700997,0.29874371111527687,0.0,,,4.504309453564981,,7.619872729692906,5.947092363345335,5.860268115673941
24,2025-01-25,0.10971829632053086,,0.08677286766630175,0.0,0.276504717758607,0.0,0.7425269104868382,0.3526497072345312,0.0,,3.1198689842237965,4.6653474176643215,,3.9894065668779835,5.671701175524235,5.74358948434717
25,2025-01-26,0.07704687611287764,0.1538198033261302,,0.0,0.301070986054377,0.07537884993661538,0.633593378283807,0.43407146981779055,0.027931824924429124,0.31914087433158467,3.9353041185910067,4.913856808423048,4.117517888547973,3.3183252035509008,5.658654343234635,5.990962018065206
26,2025-01-27,,0.20442887972675733,,0.026675513912594283,0.09777290629906865,0.0,,0.5309398601868573,,,4.060145360752733,4.9618688024536555,4.412902914226702,4.467197030628802,,6.37234864157031
27,2025-01-28,0.20506533107392133,0.17322105317881875,,,0.13678882393928166,0.017579518881646397,0.31034661135736086,0.4952204136286737,0.0,0.2141849372066842,3.9875367708435845,4.36626809201597,4.824930477092286,4.498555697110768,5.2990477863225784,6.215883792065892
28,2025-01-29,0.20196898811483446,0.18051379532129774,,0.0,0.12812363950798078,0.07816434048430605,0.31309924934900785,0.43434847985790276,0.23203468510046432,0.2414181095012086,4.196488237509969,4.697901737807239,4.409712565119943,4.103977454037865,4.823166724265688,5.556914078432925
29,2025-01-30,0.10331369031247258,0.03420360032239028,,0.14508293220129378,0.11079497345534572,0.11437298839944658,0.38718221957676746,0.326786399409049,0.23544589629549706,0.2479451496837058,3.3343854308195158,,3.348503743154553,3.92856286299315,3.5981723292469945,4.74569526372637
30,2025-01-31,0.18026436078982044,0.09205105307973371,0.0,,0.09862339324441911,0.2580460854864986,0.38877600564622194,0.2489408291792734,0.13292278451101203,0.2606786315921179,3.3859048005745214,4.0225603327510635,4.0308503054338845,3.512033141887269,3.2081676514111375,4.814644803352233
31,2025-02-01,0.1383497920009292,0.20517738347154799,0.0,0.2822921535058543,0.13367890742192215,0.39928202961977444,0.5217140091485418,0.252774275253715,0.25003788711453956,0.22990118721845326,,4.587093425320918,3.6367490142720476,3.6553411493642387,2.4738051042184206,5.202960334235057
32,2025-02-02,,0.22577715629002218,0.0,0.23468896542984932,0.18153732212115675,0.38208998390934834,0.46152622639258317,0.3694909564886115,0.27393667734933774,0.21279769231972664,3.08298004219714,5.015133959145162,,3.7317119470008087,2.9324943130868006,5.310013556893428
33,2025-02-03,0.13493328391946607,0.12158004593447069,0.0,,,0.31570213077771925,0.3504539566938845,0.27500580519882023,0.2079339600358571,0.08018444190972002,,6.121793201470107,5.117332927917239,5.15253557733554,3.6333232504340365,5.415560557185278
34,2025-02-04,0.04491453938611277,0.06442010353189019,0.12038393544472024,,0.0,0.19905567758751608,0.29442939924560985,,0.3198429930997109,0.08882289785753703,4.028361038515993,6.825731005124873,4.683489931710802,5.478730143930542,4.631607839271206,5.437935998068316
35,2025-02-05,0.0,0.018352476335433944,0.03908883779378712,,0.0,0.1687658816660888,0.23769986954544173,,0.30188530900182264,0.07749836397649695,4.62113983678345,7.256543890792281,5.055132069550508,5.568248272002889,5.3901826200252465,
36,2025-02-06,0.01127426523429768,0.10494619631739786,0.10916166588704226,,0.0,0.11456560917884231,0.17590016976339198,,0.30235590104435334,0.10079294205238626,4.794783847734071,7.097700346792701,5.028031048239023,5.829163393958153,5.3092746733013545,6.344511820965094
37,2025-02-07,0.0,0.07165612788915757,0.00890165808564819,0.25040271115183715,0.048614399634696256,0.11609908633822164,0.4081543571665631,,0.3344349999276914,0.10098030127587274,5.065378740643529,7.31350838202621,,6.472755729593248,6.10182045592836,6.764969709619168
38,2025-02-08,0.07894093980950795,0.1584334038657237,0.020166240749959735,0.15851953997980667,0.21599693248006613,0.07543669859282995,0.1766000627976505,,0.0,0.3315326270136905,4.991997089425745,6.047295343521439,4.3204353959065305,6.94848441430566,5.146046604871203,7.409729612228278
39,2025-02-09,0.0,0.11717759756298941,0.0,,,0.15683719824117728,0.4094760105208396,,0.0,0.2610785338264611,5.884004056125154,8.759571111242359,,6.756412673809421,4.935136382644824,6.643770174579155
40,2025-02-10,0.0,0.23620217722638187,0.08422564711596112,0.2618966976959916,0.43705991017787826,,0.1690799624925389,0.1862811668701903,0.0,0.19751751891408093,6.127723274965016,8.086210288259807,5.208479269656494,7.147027707113108,4.826689201869127,6.769756900789725
41,2025-02-11,0.0,0.3580196904598523,0.25072266893274564,0.2829834286723052,0.3850535306394667,0.07134081038679527,0.1843339479021962,0.23385644009975337,0.0,0.33109377882303004,5.873344171233116,7.148183894115251,5.079009415268079,6.785437807641775,5.1474250271063084,6.665777303635314
