t_index,date,P01,P02,P03,P04,P05,P06,P07,C01,C02,C03,C04,C05
0,2025-01-01,0.5012561060171861,0.340568493543153,,0.2901405093353818,0.6703263389244666,,0.48316217779169623,3.0401264497961313,,6.604731537539251,5.045194029907671,5.021438496181808
1,2025-01-02,0.511648375992955,0.1802872639319779,0.3692933646944013,0.3642172429367949,0.6809521602125537,0.005777321774587868,0.6420459396966112,2.6590223418817693,5.450991129699666,5.9570684990444995,6.059342172439251,
2,2025-01-03,0.49074430598782104,0.07574830344853134,0.29460313828513696,0.3738489859299338,0.6014945323909174,0.25690795274890693,0.6207251241910825,,6.48123265162281,6.235522208637458,,4.771988969151751
3,2025-01-04,0.46549404528252086,0.0,0.17289447902478755,0.2991530932366929,0.6034043435614433,,0.5084489051136967,2.6593537126903843,5.751951677774408,,6.841716194528039,4.458256511745346
4,2025-01-05,0.6698864408044551,0.0,0.15826307259975259,0.23054931374737372,0.5461229867875186,0.28209257172232033,,3.881188380044998,5.610238292799906,,6.7245661339041245,4.949198080872314
5,2025-01-06,0.9656429425857183,0.03394451897350661,0.20530175879587304,0.16172859885022714,0.5642766991359667,0.21145849010246998,,4.551767734607419,5.769816846181719,,,5.5370437331768505
6,2025-01-07,0.8810177890140035,0.07426911427320679,0.1333619610806347,0.26819564825734854,0.5828752748862311,,,5.133327608256861,,7.1334499310838915,7.04325316028822,5.313368256045946
7,2025-01-08,0.8355631256595034,,0.41719072064586304,0.3461608847350767,0.4743845855144522,0.38440857446657806,0.3337850256549814,5.464358526546328,5.12819368864625,6.768817312704363,6.784984070346733,5.041529898090244
8,2025-01-09,0.9686808807803385,0.18726460924322022,0.37577843317614423,0.45782094203807366,0.348674188981439,0.5185273201565106,0.30830310429291335,5.3300329698955755,5.269256790492382,6.365659170358832,,
9,2025-01-10,0.8403916771350051,0.1576789306494304,0.3329569342189398,,0.26304466128050913,0.4792981296543529,0.1370421098297369,5.4175851954704,,5.193520203331369,,4.229665719017538
10,2025-01-11,0.8943435709093067,0.24037427711017786,0.505139203938054,0.39414692604340595,0.2595960344956821,,0.22238362295681338,5.298506414719836,4.811343564375859,4.840552366953103,3.987549917931224,3.2470471875464453
11,2025-01-12,0.6149084895952928,0.07351336455951885,0.4150731091672057,,0.13821009643423315,0.3800120867769381,0.35047699804427795,4.836237140504172,4.913535699021365,5.187198932831617,3.9769269404603227,2.747263794302735
12,2025-01-13,0.4806519543627816,0.14653978259917383,0.18637223722037538,0.3300241793280783,0.1689927823999604,0.4062779619941024,0.28281896571331944,5.2682818407681715,,5.163955699068153,,3.0014901312144238
13,2025-01-14,0.4665751377661308,0.0,0.0,0.38225647552256864,0.1132104631439978,0.2959110247908174,,4.7976029247063785,4.89555860177178,4.932656627023198,4.295637976554269,3.6552086660701564
14,2025-01-15,0.447089586430183,0.018469729039338825,,0.009718157976582764,,0.06952879123091066,0.29812014927798014,4.356606142003806,4.112851123757221,,,4.652739250633024
15,2025-01-16,0.4416623370304281,0.0,0.21322921596009864,0.157754216116487,,0.4052191286209983,,3.9811690156568558,3.7432934474209345,4.714061954682147,6.461117196015732,4.605652248720397
16,2025-01-17,0.5293717074915091,0.0402430380553722,0.0622342714354735,0.2889840407283828,0.558892617841998,0.29001066985360885,0.17043031889623156,,4.968507322173153,,5.060962545205324,5.032759026657116
17,2025-01-18,0.5307684648588546,0.0,0.08312073174243503,0.37346492465440395,0.6522514020333017,0.34433948818664617,0.3268468033787032,,5.110406077110743,,,5.393085399212515
