t_index,date,P01,P02,P03,P04,P05,P06,C01,C02,C03,C04,C05
0,2025-01-01,0.6619508011711482,0.5600172468062523,0.7399157996523557,,0.59090965717543,0.4297538213870574,6.599943530611302,5.290817397454947,5.488497275903652,6.982648630574302,5.385713935197769
1,2025-01-02,0.6992873683668387,0.593111041227321,0.6796485583988601,0.4707409045305782,0.4210085144973634,0.3940087255794584,6.923370699464773,6.018994174775566,5.047174926226178,6.935473750148568,5.775171385863744
2,2025-01-03,0.738826144871035,0.561454225651217,,0.6035086021958227,0.42371672262572185,0.4712451182559241,6.858479646577542,5.881865950779753,,6.215085616750674,4.844805888122323
3,2025-01-04,0.6795988521299985,0.6131748296547089,0.6919765370296131,0.663177534127968,0.4607499809334594,0.3561522557059102,,6.377119816578456,6.520730420306602,4.888543843254122,4.10597481501704
4,2025-01-05,0.7025471668917014,0.4320358950307783,0.5623638737941397,0.6424752876731596,0.41774232492209507,,6.49740027958675,6.325047516317191,6.056393975468585,4.302478001464104,4.095920654217902
5,2025-01-06,0.5728785713407858,0.3682258032441449,0.5586979517568027,0.7187075140779777,0.3164028642478434,0.30851415046414876,6.824501805050165,6.784509109730129,5.418901266017079,,4.103925854674834
6,2025-01-07,0.40142506871827927,0.310265008744302,0.3540847340933164,0.5540688052679503,0.20671478678246707,0.3010961862619142,6.628499210146348,6.492496404480545,5.71706852099239,3.37911187902896,4.190202415859718
7,2025-01-08,,0.36229884586246913,0.32064520843986766,0.4924487531083264,0.34863460660905815,0.33332178901550197,,6.252156448155754,,4.144538108042951,
8,2025-01-09,0.7492081703003438,0.37585984152375623,0.3075122968366788,0.3093129043588448,0.3553948502545425,0.3948384524758818,6.061588412826212,8.821444347109736,5.70158808395807,3.981811019868718,2.8817151496910456
9,2025-01-10,0.8259817729131725,0.4158946864868284,0.3334834224436823,,0.4427052957624545,0.2472031923741157,6.7256960545968445,5.457854838351826,5.771101436983207,4.9018254667819665,3.42456637686036
10,2025-01-11,0.7152830800045394,0.3796427004027641,0.4238057862611142,0.3431873028360773,0.3993792830390075,0.3523919833808865,6.591187084834102,,6.002096191831123,,2.8375396412044656
11,2025-01-12,0.7062521352659998,,0.5291261583260094,0.31902754778489767,0.3760246329484809,0.15962693040408624,7.058852975247965,,6.315658959848167,4.621373641092871,
12,2025-01-13,,0.30972071095216236,0.5567152739527655,0.30252329995879207,0.39312515666017955,0.12065246676821234,6.789922743893655,,6.309574253206147,,2.8605851418670416
13,2025-01-14,,0.16612781306927732,,0.4303539442699931,0.40711335736848747,0.08435674394874151,6.96217410125191,,6.978678904237408,,3.4651041873749513
14,2025-01-15,0.5032895002130303,0.11973936181946628,0.538820088199207,0.44341244219716425,0.4489053742233125,0.2785547913221986,6.711856094757114,,,4.161906150945159,3.6203550456935147
15,2025-01-16,0.3868727855562041,,,0.49944818855853335,0.5674712590492875,0.3290470451638633,6.9017691792085305,4.4579648319610845,5.235659661848535,,2.1784905888317616
16,2025-01-17,0.5685128871467076,0.29725440407023845,0.2182219118544104,0.45821166434430594,0.45865348595909233,0.3407318032428002,6.199491491195296,3.9868038122552196,6.527806717486283,2.789881645019155,2.2399596134129234
17,2025-01-18,0.4463856874197661,0.40371674317734574,,0.34647945117162143,0.4569054884530044,0.2544974464685209,6.0760539314265,3.563290165327243,,3.144487536501273,2.1657187893058003
18,2025-01-19,0.3487952043771659,0.5029123248597916,0.2680954942175136,0.355134382436034,0.41507759565861574,0.3073394823924773,6.247825617638955,3.7732627054194485,6.519318991563379,3.2198769539636403,1.8692112667509808
19,2025-01-20,0.30479973780329384,0.5283074205217441,0.31060052402378274,0.3285678834690358,0.4587478533734208,0.13612887533055798,6.14907901315262,4.0746196519858895,6.629960184404284,2.772971286118956,2.409441069787232
20,2025-01-21,0.3845967019552589,0.570348212033104,0.20578630320891306,0.30508908739077945,0.4079714565036037,0.11486179160538232,,,,3.064650334996724,2.2244546545425545
21,2025-01-22,,0.3754521258920692,,0.5257721661443646,,0.27784731790523265,6.417698431037094,4.483399860174131,,2.372731295115419,1.8430404157415954
22,2025-01-23,,0.38323632005917274,0.05312848443899135,0.4329429694914522,0.5245260509572165,0.36291165992596564,6.244040691935678,4.114070483362175,7.566564761749665,1.3761519991380102,1.9196088191623133
23,2025-01-24,0.29142946668944586,0.37235854735586404,0.2626489724080774,,0.5302263334138458,0.39873318183499323,5.646636899451647,3.6772745282424846,8.093312868992081,,
24,2025-01-25,0.225931547783284,0.4281620658999306,0.33551116607478826,,0.6651253334801311,0.42912700011398197,,2.8741080983954133,7.8149690248976125,1.2950314031496588,0.5048062016158872
25,2025-01-26,0.18002010745775082,0.459853752599121,0.22660189653683732,0.4510039079586152,0.5034929210371302,0.4374458775025458,5.562701149795184,2.546355621709778,6.731471453929182,,0.04034735689081215
26,2025-01-27,0.33103095479453964,0.3896338651462412,0.2125249219950165,0.41904796345164236,,,5.983177870480673,2.658360595180568,6.421155026286906,2.309193025779465,0.0
27,2025-01-28,0.24013158281268532,0.4004534450349445,0.24499129638428074,0.4135653689264463,0.5289043119225161,0.5601479993066052,5.276215108444859,2.7944785594283768,,3.0603969008236938,0.24830896423111343
28,2025-01-29,0.29854346359866485,0.44839045218631285,0.38087308363027006,0.41644905797106124,0.5641832036189471,0.49929012991685007,5.150368399725562,2.483673211367042,,3.44573347211869,0.38914654623830525
29,2025-01-30,0.3369438498930001,0.5064268325509192,0.46341186637967224,0.3915295734178816,,0.5799237840365767,3.8824405445498122,3.9318184228241866,,3.8457189458411283,0.948699797562198
30,2025-01-31,,0.13628635007299933,0.3130269136696584,0.21339708311741573,0.7207110166350552,,4.695075373576046,3.5487965123053353,,4.2032205922377734,1.3826279957934933
31,2025-02-01,0.5893249215319014,0.16666726281065386,0.42633747680138395,0.39731456216124306,,0.14208932698204169,4.002686813044884,2.4803944941030056,,4.917309016841852,2.7715840824982534
32,2025-02-02,0.49813446365813374,0.18152640468532502,0.4018933710011066,0.4658264588754665,,0.14888106331942202,3.293320575437779,3.03245308905546,,3.9931890169323916,3.636335108210926
33,2025-02-03,,0.26052530198329,0.2853467534794617,0.615681845275494,,0.10247240588146127,2.177957701322629,3.1970240128707017,,3.3202017292943644,3.440987459893687
34,2025-02-04,0.32479215680674806,0.25232691949594366,0.2570777655371484,0.6699411399454415,,0.15844258462093366,2.2473825820573827,3.161158156537736,,3.004823091585128,3.29682137186893
35,2025-02-05,0.3733909222901017,0.5028198779265953,0.3443489265501989,0.8013553495995365,0.7702144392414966,0.30034645992493286,1.7900341137554565,3.8619163662752363,,2.761159670970335,
36,2025-02-06,,,0.5142415791912649,0.6383055495874793,0.6180537292822417,0.3662441803672548,,,3.6612046977443304,,
37,2025-02-07,0.16012847906289546,,0.49940889869232397,0.5903484414894757,0.5906830086535365,,,4.019961726927028,,3.197366368679867,
38,2025-02-08,,,0.4631815296499096,0.7280736537334556,0.7074495813019097,0.25209504428883606,,4.363543464823037,4.119410604664596,,
39,2025-02-09,,,0.34926486120127664,0.6905987494859291,0.6399853957661894,0.15377408326797226,2.5498839465503567,4.312550022537169,4.186198959668948,,
40,2025-02-10,0.388470729000681,,0.31501226915195124,0.5427990392364768,0.6897980325843437,0.1575044046509903,3.2103355929118114,5.265622261987779,4.319898357866539,3.736965658191984,
41,2025-02-11,0.5344817399261361,,0.017439599770798064,0.4234487572617513,0.8637293237378664,0.33208198937274247,4.11510318348302,5.6574392392108726,4.971638713442715,4.507232391244839,
42,2025-02-12,0.5108292015811827,,0.0,0.288385280019545,0.7536954403310903,0.4601062486929728,4.013231429429063,5.143007083579761,4.681772548743756,4.280902376597341,4.544300188575882
43,2025-02-13,0.37637064890459027,,0.0,0.2811008955252121,0.6849595151706498,0.32054975690052356,3.9705865068507586,4.863221954878282,4.6860772350268185,4.754701803784541,4.499166960806987
44,2025-02-14,0.4161459403949362,,0.0,0.22128840441473413,0.7253308846792844,0.3242761841321773,4.607702004032714,4.392073917271455,,5.19963907802747,4.074558382881858
45,2025-02-15,0.3865010177466656,0.17468267711469376,0.0,0.24881921372207289,,0.2766269165911392,4.855371914583976,4.01134614884215,,4.107128679632971,3.892883610571913
46,2025-02-16,0.5156078317520455,0.21537658684174163,0.0,0.29042205418343003,,0.2053328456903355,4.456817897600523,4.076163654305955,,,3.1932466965008666
47,2025-02-17,0.5001322608758775,0.31041260961556244,0.0,0.13185594967298386,,0.0953407170320223,4.786758527359771,4.445471349727313,3.6482593229463127,3.6560858283930613,2.784638677413321
48,2025-02-18,0.38649790080786556,0.3899756936360318,,0.09116662414241498,,0.12423028423801094,5.174348550301673,4.369948056434658,3.8405462196486195,4.115579331828097,1.7932575995639632
49,2025-02-19,0.5266541140499652,0.3999138249238838,,0.07937612070763977,,,4.748774016485104,4.987160450847544,,4.186355391575608,1.260865271448436
50,2025-02-20,0.6170857901235423,0.39227038583241175,0.0,0.021272401681724326,,0.23214271674403164,4.782118754738252,4.5504170020815815,3.580752867473315,3.8274111649347415,0.03387899170921549
51,2025-02-21,,0.3251008075211089,0.01944282254747108,0.0,,0.23404273571528528,4.262619456768267,3.561515297539102,,4.046983542407253,0.38917021280850733
52,2025-02-22,0.6863349304005634,0.3634147036507539,,0.046076491232387606,,0.3053787182753105,,3.867283733284653,4.59042071073989,5.2159274743770965,0.5547342572983011
53,2025-02-23,0.7921337675872336,0.2522124251404622,0.004654320591277168,0.008725188885992441,,0.15940124428014033,3.5660177013898195,,3.379954152765281,4.463178442916742,2.157736398228726
54,2025-02-24,0.629977872373509,0.1447127229681713,0.03653805469478523,0.024756136187592863,,0.24055024283102744,4.357805520978404,,2.952068642000018,5.1671183433827395,2.8680835630794475
55,2025-02-25,0.5567782325691369,0.05793238435027888,0.10519919349717297,0.0,0.27265355858147977,0.27058081349300517,4.086268601113906,,2.6267370085863977,5.943839539162355,3.4112872601757576
56,2025-02-26,0.5128951406972011,0.3003576373076239,,0.19447641681422415,,0.3825516141406502,5.043454818050375,,,5.499369333088372,2.2160224312180334
57,2025-02-27,,,0.014590340012792465,0.23316120971500662,,0.4169133678038164,5.1188168329559085,,3.9113542644503916,,1.8077893052208185
58,2025-02-28,0.6694222954838335,0.19572055307201336,0.24821881080932817,0.3134729858213918,0.5640147619864019,0.5549356942611564,,,,,1.7887441302456937
59,2025-03-01,0.5916385958537679,,0.1361022566622526,0.3752466328403098,0.35166351115287975,0.6254553146241204,,,2.6605841014602927,,2.937162754475062
60,2025-03-02,0.3433800856555494,0.1646763267321878,0.042378804129000705,0.43208835914098154,0.46019028095835157,,5.616230959335624,6.083246034913188,3.336504084787936,5.359516213367602,3.63218478241806
61,2025-03-03,0.21499860392082562,0.04325401187576616,0.09795934516228139,0.47135307232724805,0.7902681223690204,0.6673553750255744,5.511636133472381,6.487129331078334,,,4.5089342399280845
62,2025-03-04,,0.1552033227735316,0.32229839567411267,0.44844449170476314,0.8341907692701656,0.5021289332659111,5.610531916613184,7.668092623844551,3.0719061135182066,5.807520702815118,
63,2025-03-05,0.4737786061205974,0.12406831094352574,0.48188207555545537,0.5413936087360858,0.7215012216907963,0.5621445949477077,,8.470363436243536,3.25294233972003,6.510705368285688,3.990450530683927
64,2025-03-06,,0.30702790001982483,0.2944602262154276,0.7325843196965418,0.5878542222957106,0.407182261601149,4.518851497323419,8.794128753623536,3.1922637941171463,,4.7812506838467606
65,2025-03-07,0.710218111106143,0.28919905225715403,0.20658581443653146,0.8897687376405006,0.5833255750236045,0.22463602795540677,4.798255668740134,,2.911083898930425,5.342309121633548,5.757369304395404
