pseudoprofile_id,matrix,from_var_id,to_var_id,relevance_score_0_1_comma5,relevance_score_0_1_float
pseudoprofile_FTC_ID008,C_to_C,C01,C02,"0,70000",0.7
pseudoprofile_FTC_ID008,C_to_C,C01,C03,"0,90000",0.9
pseudoprofile_FTC_ID008,C_to_C,C01,C04,"0,60000",0.6
pseudoprofile_FTC_ID008,C_to_C,C01,C05,"0,65000",0.65
pseudoprofile_FTC_ID008,C_to_C,C01,C06,"0,70000",0.7
pseudoprofile_FTC_ID008,C_to_C,C02,C01,"0,70000",0.7
pseudoprofile_FTC_ID008,C_to_C,C02,C03,"0,80000",0.8
pseudoprofile_FTC_ID008,C_to_C,C02,C04,"0,50000",0.5
pseudoprofile_FTC_ID008,C_to_C,C02,C05,"0,30000",0.3
pseudoprofile_FTC_ID008,C_to_C,C02,C06,"0,45000",0.45
pseudoprofile_FTC_ID008,C_to_C,C03,C01,"0,40000",0.4
pseudoprofile_FTC_ID008,C_to_C,C03,C02,"0,80000",0.8
pseudoprofile_FTC_ID008,C_to_C,C03,C04,"0,30000",0.3
pseudoprofile_FTC_ID008,C_to_C,C03,C05,"0,35000",0.35
pseudoprofile_FTC_ID008,C_to_C,C03,C06,"0,45000",0.45
pseudoprofile_FTC_ID008,C_to_C,C04,C01,"0,85000",0.85
pseudoprofile_FTC_ID008,C_to_C,C04,C02,"0,40000",0.4
pseudoprofile_FTC_ID008,C_to_C,C04,C03,"0,45000",0.45
pseudoprofile_FTC_ID008,C_to_C,C04,C05,"0,70000",0.7
pseudoprofile_FTC_ID008,C_to_C,C04,C06,"0,80000",0.8
pseudoprofile_FTC_ID008,C_to_C,C05,C01,"0,75000",0.75
pseudoprofile_FTC_ID008,C_to_C,C05,C02,"0,30000",0.3
pseudoprofile_FTC_ID008,C_to_C,C05,C03,"0,60000",0.6
pseudoprofile_FTC_ID008,C_to_C,C05,C04,"0,70000",0.7
pseudoprofile_FTC_ID008,C_to_C,C05,C06,"0,60000",0.6
pseudoprofile_FTC_ID008,C_to_C,C06,C01,"0,70000",0.7
pseudoprofile_FTC_ID008,C_to_C,C06,C02,"0,30000",0.3
pseudoprofile_FTC_ID008,C_to_C,C06,C03,"0,70000",0.7
pseudoprofile_FTC_ID008,C_to_C,C06,C04,"0,80000",0.8
pseudoprofile_FTC_ID008,C_to_C,C06,C05,"0,60000",0.6
pseudoprofile_FTC_ID041,C_to_C,C01,C02,"0,45000",0.45
pseudoprofile_FTC_ID041,C_to_C,C01,C03,"0,60000",0.6
pseudoprofile_FTC_ID041,C_to_C,C01,C04,"0,80000",0.8
pseudoprofile_FTC_ID041,C_to_C,C01,C05,"0,50000",0.5
pseudoprofile_FTC_ID041,C_to_C,C01,C06,"0,45000",0.45
pseudoprofile_FTC_ID041,C_to_C,C02,C01,"0,70000",0.7
pseudoprofile_FTC_ID041,C_to_C,C02,C03,"0,40000",0.4
pseudoprofile_FTC_ID041,C_to_C,C02,C04,"0,35000",0.35
pseudoprofile_FTC_ID041,C_to_C,C02,C05,"0,30000",0.3
pseudoprofile_FTC_ID041,C_to_C,C02,C06,"0,20000",0.2
pseudoprofile_FTC_ID041,C_to_C,C03,C01,"0,65000",0.65
pseudoprofile_FTC_ID041,C_to_C,C03,C02,"0,50000",0.5
pseudoprofile_FTC_ID041,C_to_C,C03,C04,"0,45000",0.45
pseudoprofile_FTC_ID041,C_to_C,C03,C05,"0,45000",0.45
pseudoprofile_FTC_ID041,C_to_C,C03,C06,"0,55000",0.55
pseudoprofile_FTC_ID041,C_to_C,C04,C01,"0,50000",0.5
pseudoprofile_FTC_ID041,C_to_C,C04,C02,"0,55000",0.55
pseudoprofile_FTC_ID041,C_to_C,C04,C03,"0,35000",0.35
pseudoprofile_FTC_ID041,C_to_C,C04,C05,"0,85000",0.85
pseudoprofile_FTC_ID041,C_to_C,C04,C06,"0,60000",0.6
pseudoprofile_FTC_ID041,C_to_C,C05,C01,"0,45000",0.45
pseudoprofile_FTC_ID041,C_to_C,C05,C02,"0,30000",0.3
pseudoprofile_FTC_ID041,C_to_C,C05,C03,"0,45000",0.45
pseudoprofile_FTC_ID041,C_to_C,C05,C04,"0,85000",0.85
pseudoprofile_FTC_ID041,C_to_C,C05,C06,"0,75000",0.75
pseudoprofile_FTC_ID041,C_to_C,C06,C01,"0,45000",0.45
pseudoprofile_FTC_ID041,C_to_C,C06,C02,"0,35000",0.35
pseudoprofile_FTC_ID041,C_to_C,C06,C03,"0,55000",0.55
pseudoprofile_FTC_ID041,C_to_C,C06,C04,"0,60000",0.6
pseudoprofile_FTC_ID041,C_to_C,C06,C05,"0,75000",0.75
pseudoprofile_FTC_ID002,C_to_C,C01,C02,"0,60000",0.6
pseudoprofile_FTC_ID002,C_to_C,C01,C03,"0,20000",0.2
pseudoprofile_FTC_ID002,C_to_C,C01,C04,"0,70000",0.7
pseudoprofile_FTC_ID002,C_to_C,C01,C05,"0,25000",0.25
pseudoprofile_FTC_ID002,C_to_C,C01,C06,"0,30000",0.3
pseudoprofile_FTC_ID002,C_to_C,C02,C01,"0,20000",0.2
pseudoprofile_FTC_ID002,C_to_C,C02,C03,"0,15000",0.15
pseudoprofile_FTC_ID002,C_to_C,C02,C04,"0,30000",0.3
pseudoprofile_FTC_ID002,C_to_C,C02,C05,"0,40000",0.4
pseudoprofile_FTC_ID002,C_to_C,C02,C06,"0,20000",0.2
pseudoprofile_FTC_ID002,C_to_C,C03,C01,"0,30000",0.3
pseudoprofile_FTC_ID002,C_to_C,C03,C02,"0,20000",0.2
pseudoprofile_FTC_ID002,C_to_C,C03,C04,"0,65000",0.65
pseudoprofile_FTC_ID002,C_to_C,C03,C05,"0,40000",0.4
pseudoprofile_FTC_ID002,C_to_C,C03,C06,"0,75000",0.75
pseudoprofile_FTC_ID002,C_to_C,C04,C01,"0,70000",0.7
pseudoprofile_FTC_ID002,C_to_C,C04,C02,"0,35000",0.35
pseudoprofile_FTC_ID002,C_to_C,C04,C03,"0,30000",0.3
pseudoprofile_FTC_ID002,C_to_C,C04,C05,"0,30000",0.3
pseudoprofile_FTC_ID002,C_to_C,C04,C06,"0,40000",0.4
pseudoprofile_FTC_ID002,C_to_C,C05,C01,"0,15000",0.15
pseudoprofile_FTC_ID002,C_to_C,C05,C02,"0,25000",0.25
pseudoprofile_FTC_ID002,C_to_C,C05,C03,"0,40000",0.4
pseudoprofile_FTC_ID002,C_to_C,C05,C04,"0,20000",0.2
pseudoprofile_FTC_ID002,C_to_C,C05,C06,"0,25000",0.25
pseudoprofile_FTC_ID002,C_to_C,C06,C01,"0,30000",0.3
pseudoprofile_FTC_ID002,C_to_C,C06,C02,"0,20000",0.2
pseudoprofile_FTC_ID002,C_to_C,C06,C03,"0,55000",0.55
pseudoprofile_FTC_ID002,C_to_C,C06,C04,"0,35000",0.35
pseudoprofile_FTC_ID002,C_to_C,C06,C05,"0,20000",0.2
