pseudoprofile_id,predictor_var_id,criterion_var_id,relevance_score_0_1_comma5,relevance_score_0_1_float
pseudoprofile_FTC_ID024,P01,C01,"0,60000",0.6
pseudoprofile_FTC_ID024,P01,C02,"0,65000",0.65
pseudoprofile_FTC_ID024,P01,C03,"0,60000",0.6
pseudoprofile_FTC_ID024,P01,C04,"0,85000",0.85
pseudoprofile_FTC_ID024,P01,C05,"0,70000",0.7
pseudoprofile_FTC_ID024,P01,C06,"0,55000",0.55
pseudoprofile_FTC_ID024,P01,C07,"0,62000",0.62
pseudoprofile_FTC_ID024,P02,C01,"0,58000",0.58
pseudoprofile_FTC_ID024,P02,C02,"0,62000",0.62
pseudoprofile_FTC_ID024,P02,C03,"0,55000",0.55
pseudoprofile_FTC_ID024,P02,C04,"0,90000",0.9
pseudoprofile_FTC_ID024,P02,C05,"0,75000",0.75
pseudoprofile_FTC_ID024,P02,C06,"0,45000",0.45
pseudoprofile_FTC_ID024,P02,C07,"0,60000",0.6
pseudoprofile_FTC_ID024,P03,C01,"0,50000",0.5
pseudoprofile_FTC_ID024,P03,C02,"0,55000",0.55
pseudoprofile_FTC_ID024,P03,C03,"0,50000",0.5
pseudoprofile_FTC_ID024,P03,C04,"0,60000",0.6
pseudoprofile_FTC_ID024,P03,C05,"0,45000",0.45
pseudoprofile_FTC_ID024,P03,C06,"0,50000",0.5
pseudoprofile_FTC_ID024,P03,C07,"0,60000",0.6
pseudoprofile_FTC_ID024,P04,C01,"0,65000",0.65
pseudoprofile_FTC_ID024,P04,C02,"0,40000",0.4
pseudoprofile_FTC_ID024,P04,C03,"0,45000",0.45
pseudoprofile_FTC_ID024,P04,C04,"0,70000",0.7
pseudoprofile_FTC_ID024,P04,C05,"0,45000",0.45
pseudoprofile_FTC_ID024,P04,C06,"0,50000",0.5
pseudoprofile_FTC_ID024,P04,C07,"0,50000",0.5
pseudoprofile_FTC_ID024,P05,C01,"0,45000",0.45
pseudoprofile_FTC_ID024,P05,C02,"0,40000",0.4
pseudoprofile_FTC_ID024,P05,C03,"0,55000",0.55
pseudoprofile_FTC_ID024,P05,C04,"0,50000",0.5
pseudoprofile_FTC_ID024,P05,C05,"0,90000",0.9
pseudoprofile_FTC_ID024,P05,C06,"0,60000",0.6
pseudoprofile_FTC_ID024,P05,C07,"0,60000",0.6
pseudoprofile_FTC_ID024,P06,C01,"0,50000",0.5
pseudoprofile_FTC_ID024,P06,C02,"0,60000",0.6
pseudoprofile_FTC_ID024,P06,C03,"0,55000",0.55
pseudoprofile_FTC_ID024,P06,C04,"0,75000",0.75
pseudoprofile_FTC_ID024,P06,C05,"0,70000",0.7
pseudoprofile_FTC_ID024,P06,C06,"0,62000",0.62
pseudoprofile_FTC_ID024,P06,C07,"0,58000",0.58
pseudoprofile_FTC_ID001,P01,C01,"0,90000",0.9
pseudoprofile_FTC_ID001,P01,C02,"0,85000",0.85
pseudoprofile_FTC_ID001,P01,C03,"0,75000",0.75
pseudoprofile_FTC_ID001,P01,C04,"0,60000",0.6
pseudoprofile_FTC_ID001,P01,C05,"0,70000",0.7
pseudoprofile_FTC_ID001,P02,C01,"0,85000",0.85
pseudoprofile_FTC_ID001,P02,C02,"0,80000",0.8
pseudoprofile_FTC_ID001,P02,C03,"0,65000",0.65
pseudoprofile_FTC_ID001,P02,C04,"0,40000",0.4
pseudoprofile_FTC_ID001,P02,C05,"0,55000",0.55
pseudoprofile_FTC_ID001,P03,C01,"0,80000",0.8
pseudoprofile_FTC_ID001,P03,C02,"0,85000",0.85
pseudoprofile_FTC_ID001,P03,C03,"0,70000",0.7
pseudoprofile_FTC_ID001,P03,C04,"0,50000",0.5
pseudoprofile_FTC_ID001,P03,C05,"0,65000",0.65
pseudoprofile_FTC_ID001,P04,C01,"0,60000",0.6
pseudoprofile_FTC_ID001,P04,C02,"0,55000",0.55
pseudoprofile_FTC_ID001,P04,C03,"0,50000",0.5
pseudoprofile_FTC_ID001,P04,C04,"0,85000",0.85
pseudoprofile_FTC_ID001,P04,C05,"0,80000",0.8
pseudoprofile_FTC_ID001,P05,C01,"0,65000",0.65
pseudoprofile_FTC_ID001,P05,C02,"0,60000",0.6
pseudoprofile_FTC_ID001,P05,C03,"0,55000",0.55
pseudoprofile_FTC_ID001,P05,C04,"0,60000",0.6
pseudoprofile_FTC_ID001,P05,C05,"0,75000",0.75
pseudoprofile_FTC_ID001,P06,C01,"0,50000",0.5
pseudoprofile_FTC_ID001,P06,C02,"0,70000",0.7
pseudoprofile_FTC_ID001,P06,C03,"0,65000",0.65
pseudoprofile_FTC_ID001,P06,C04,"0,50000",0.5
pseudoprofile_FTC_ID001,P06,C05,"0,60000",0.6
pseudoprofile_FTC_ID050,P01,C01,"0,75000",0.75
pseudoprofile_FTC_ID050,P01,C02,"0,20000",0.2
pseudoprofile_FTC_ID050,P01,C03,"0,25000",0.25
pseudoprofile_FTC_ID050,P01,C04,"0,20000",0.2
pseudoprofile_FTC_ID050,P01,C05,"0,25000",0.25
pseudoprofile_FTC_ID050,P02,C01,"0,72000",0.72
pseudoprofile_FTC_ID050,P02,C02,"0,21000",0.21
pseudoprofile_FTC_ID050,P02,C03,"0,15000",0.15
pseudoprofile_FTC_ID050,P02,C04,"0,18000",0.18
pseudoprofile_FTC_ID050,P02,C05,"0,10000",0.1
pseudoprofile_FTC_ID050,P03,C01,"0,28000",0.28
pseudoprofile_FTC_ID050,P03,C02,"0,20000",0.2
pseudoprofile_FTC_ID050,P03,C03,"0,68000",0.68
pseudoprofile_FTC_ID050,P03,C04,"0,25000",0.25
pseudoprofile_FTC_ID050,P03,C05,"0,22000",0.22
pseudoprofile_FTC_ID050,P04,C01,"0,25000",0.25
pseudoprofile_FTC_ID050,P04,C02,"0,15000",0.15
pseudoprofile_FTC_ID050,P04,C03,"0,28000",0.28
pseudoprofile_FTC_ID050,P04,C04,"0,66000",0.66
pseudoprofile_FTC_ID050,P04,C05,"0,60000",0.6
pseudoprofile_FTC_ID050,P05,C01,"0,70000",0.7
pseudoprofile_FTC_ID050,P05,C02,"0,15000",0.15
pseudoprofile_FTC_ID050,P05,C03,"0,20000",0.2
pseudoprofile_FTC_ID050,P05,C04,"0,16000",0.16
pseudoprofile_FTC_ID050,P05,C05,"0,18000",0.18
pseudoprofile_FTC_ID004,P01,C01,"0,88000",0.88
pseudoprofile_FTC_ID004,P01,C02,"0,70000",0.7
pseudoprofile_FTC_ID004,P01,C03,"0,82000",0.82
pseudoprofile_FTC_ID004,P01,C04,"0,86000",0.86
pseudoprofile_FTC_ID004,P01,C05,"0,75000",0.75
pseudoprofile_FTC_ID004,P01,C06,"0,65000",0.65
pseudoprofile_FTC_ID004,P01,C07,"0,60000",0.6
pseudoprofile_FTC_ID004,P02,C01,"0,60000",0.6
pseudoprofile_FTC_ID004,P02,C02,"0,80000",0.8
pseudoprofile_FTC_ID004,P02,C03,"0,40000",0.4
pseudoprofile_FTC_ID004,P02,C04,"0,45000",0.45
pseudoprofile_FTC_ID004,P02,C05,"0,50000",0.5
pseudoprofile_FTC_ID004,P02,C06,"0,30000",0.3
pseudoprofile_FTC_ID004,P02,C07,"0,50000",0.5
pseudoprofile_FTC_ID004,P03,C01,"0,70000",0.7
pseudoprofile_FTC_ID004,P03,C02,"0,25000",0.25
pseudoprofile_FTC_ID004,P03,C03,"0,60000",0.6
pseudoprofile_FTC_ID004,P03,C04,"0,50000",0.5
pseudoprofile_FTC_ID004,P03,C05,"0,40000",0.4
pseudoprofile_FTC_ID004,P03,C06,"0,40000",0.4
pseudoprofile_FTC_ID004,P03,C07,"0,25000",0.25
pseudoprofile_FTC_ID004,P04,C01,"0,50000",0.5
pseudoprofile_FTC_ID004,P04,C02,"0,50000",0.5
pseudoprofile_FTC_ID004,P04,C03,"0,60000",0.6
pseudoprofile_FTC_ID004,P04,C04,"0,85000",0.85
pseudoprofile_FTC_ID004,P04,C05,"0,70000",0.7
pseudoprofile_FTC_ID004,P04,C06,"0,75000",0.75
pseudoprofile_FTC_ID004,P04,C07,"0,40000",0.4
pseudoprofile_FTC_ID004,P05,C01,"0,50000",0.5
pseudoprofile_FTC_ID004,P05,C02,"0,50000",0.5
pseudoprofile_FTC_ID004,P05,C03,"0,55000",0.55
pseudoprofile_FTC_ID004,P05,C04,"0,60000",0.6
pseudoprofile_FTC_ID004,P05,C05,"0,50000",0.5
pseudoprofile_FTC_ID004,P05,C06,"0,40000",0.4
pseudoprofile_FTC_ID004,P05,C07,"0,45000",0.45
pseudoprofile_FTC_ID004,P06,C01,"0,75000",0.75
pseudoprofile_FTC_ID004,P06,C02,"0,40000",0.4
pseudoprofile_FTC_ID004,P06,C03,"0,70000",0.7
pseudoprofile_FTC_ID004,P06,C04,"0,60000",0.6
pseudoprofile_FTC_ID004,P06,C05,"0,50000",0.5
pseudoprofile_FTC_ID004,P06,C06,"0,50000",0.5
pseudoprofile_FTC_ID004,P06,C07,"0,55000",0.55
pseudoprofile_FTC_ID049,P01,C01,"0,55000",0.55
pseudoprofile_FTC_ID049,P01,C02,"0,85000",0.85
pseudoprofile_FTC_ID049,P01,C03,"0,75000",0.75
pseudoprofile_FTC_ID049,P01,C04,"0,92000",0.92
pseudoprofile_FTC_ID049,P01,C05,"0,60000",0.6
pseudoprofile_FTC_ID049,P01,C06,"0,50000",0.5
pseudoprofile_FTC_ID049,P02,C01,"0,40000",0.4
pseudoprofile_FTC_ID049,P02,C02,"0,75000",0.75
pseudoprofile_FTC_ID049,P02,C03,"0,70000",0.7
pseudoprofile_FTC_ID049,P02,C04,"0,60000",0.6
pseudoprofile_FTC_ID049,P02,C05,"0,50000",0.5
pseudoprofile_FTC_ID049,P02,C06,"0,90000",0.9
pseudoprofile_FTC_ID049,P03,C01,"0,25000",0.25
pseudoprofile_FTC_ID049,P03,C02,"0,30000",0.3
pseudoprofile_FTC_ID049,P03,C03,"0,20000",0.2
pseudoprofile_FTC_ID049,P03,C04,"0,85000",0.85
pseudoprofile_FTC_ID049,P03,C05,"0,70000",0.7
pseudoprofile_FTC_ID049,P03,C06,"0,35000",0.35
pseudoprofile_FTC_ID049,P04,C01,"0,40000",0.4
pseudoprofile_FTC_ID049,P04,C02,"0,75000",0.75
pseudoprofile_FTC_ID049,P04,C03,"0,50000",0.5
pseudoprofile_FTC_ID049,P04,C04,"0,70000",0.7
pseudoprofile_FTC_ID049,P04,C05,"0,30000",0.3
pseudoprofile_FTC_ID049,P04,C06,"0,60000",0.6
pseudoprofile_FTC_ID049,P05,C01,"0,30000",0.3
pseudoprofile_FTC_ID049,P05,C02,"0,50000",0.5
pseudoprofile_FTC_ID049,P05,C03,"0,70000",0.7
pseudoprofile_FTC_ID049,P05,C04,"0,40000",0.4
pseudoprofile_FTC_ID049,P05,C05,"0,20000",0.2
pseudoprofile_FTC_ID049,P05,C06,"0,25000",0.25
pseudoprofile_FTC_ID049,P06,C01,"0,35000",0.35
pseudoprofile_FTC_ID049,P06,C02,"0,70000",0.7
pseudoprofile_FTC_ID049,P06,C03,"0,50000",0.5
pseudoprofile_FTC_ID049,P06,C04,"0,45000",0.45
pseudoprofile_FTC_ID049,P06,C05,"0,60000",0.6
pseudoprofile_FTC_ID049,P06,C06,"0,25000",0.25
pseudoprofile_FTC_ID049,P07,C01,"0,50000",0.5
pseudoprofile_FTC_ID049,P07,C02,"0,60000",0.6
pseudoprofile_FTC_ID049,P07,C03,"0,40000",0.4
pseudoprofile_FTC_ID049,P07,C04,"0,70000",0.7
pseudoprofile_FTC_ID049,P07,C05,"0,60000",0.6
pseudoprofile_FTC_ID049,P07,C06,"0,50000",0.5
pseudoprofile_FTC_ID049,P08,C01,"0,30000",0.3
pseudoprofile_FTC_ID049,P08,C02,"0,35000",0.35
pseudoprofile_FTC_ID049,P08,C03,"0,25000",0.25
pseudoprofile_FTC_ID049,P08,C04,"0,25000",0.25
pseudoprofile_FTC_ID049,P08,C05,"0,30000",0.3
pseudoprofile_FTC_ID049,P08,C06,"0,40000",0.4
pseudoprofile_FTC_ID036,P01,C01,"0,75000",0.75
pseudoprofile_FTC_ID036,P01,C03,"0,70000",0.7
pseudoprofile_FTC_ID036,P01,C04,"0,60000",0.6
pseudoprofile_FTC_ID036,P01,C06,"0,65000",0.65
pseudoprofile_FTC_ID036,P02,C01,"0,72000",0.72
pseudoprofile_FTC_ID036,P02,C03,"0,68000",0.68
pseudoprofile_FTC_ID036,P02,C04,"0,62000",0.62
pseudoprofile_FTC_ID036,P02,C06,"0,70000",0.7
pseudoprofile_FTC_ID036,P03,C01,"0,80000",0.8
pseudoprofile_FTC_ID036,P03,C03,"0,66000",0.66
pseudoprofile_FTC_ID036,P03,C04,"0,58000",0.58
pseudoprofile_FTC_ID036,P03,C06,"0,75000",0.75
pseudoprofile_FTC_ID036,P04,C01,"0,70000",0.7
pseudoprofile_FTC_ID036,P04,C03,"0,64000",0.64
pseudoprofile_FTC_ID036,P04,C04,"0,60000",0.6
pseudoprofile_FTC_ID036,P04,C06,"0,68000",0.68
pseudoprofile_FTC_ID036,P05,C01,"0,76000",0.76
pseudoprofile_FTC_ID036,P05,C03,"0,70000",0.7
pseudoprofile_FTC_ID036,P05,C04,"0,66000",0.66
pseudoprofile_FTC_ID036,P05,C06,"0,72000",0.72
pseudoprofile_FTC_ID017,P01,C01,"0,88000",0.88
pseudoprofile_FTC_ID017,P01,C02,"0,65000",0.65
pseudoprofile_FTC_ID017,P01,C03,"0,70000",0.7
pseudoprofile_FTC_ID017,P01,C04,"0,75000",0.75
pseudoprofile_FTC_ID017,P01,C05,"0,60000",0.6
pseudoprofile_FTC_ID017,P01,C06,"0,55000",0.55
pseudoprofile_FTC_ID017,P02,C01,"0,70000",0.7
pseudoprofile_FTC_ID017,P02,C02,"0,78000",0.78
