pseudoprofile_id,n_errors,n_warnings,errors_joined,warnings_joined,stat_study_days,stat_momentary_prompts_per_day,stat_expected_total_prompts,stat_computed_total_prompts,stat_computed_total_daily_diary_entries,stat_total_expected_observations,stat_n_criteria,stat_n_predictors,stat_n_total_variables,stat_gvar_T_over_K,stat_n_edges,stat_n_relevance_pairs,stat_expected_relevance_pairs
pseudoprofile_FTC_ID024,0,0,,,14,6,84,84,14,98,7,6,13,6.461538461538462,13,42,42
pseudoprofile_FTC_ID001,0,0,,,14,4,56,56,14,70,5,6,11,5.090909090909091,30,30,30
pseudoprofile_FTC_ID050,0,0,,,14,4,56,56,14,70,5,5,10,5.6,6,25,25
pseudoprofile_FTC_ID004,0,1,,gVAR caution: T=56 is < 5*K=65 (K=13). Consider fewer variables or more timepoints.,14,4,56,56,28,84,7,6,13,4.3076923076923075,42,42,42
pseudoprofile_FTC_ID049,0,1,,predictor_variables[6] 'P07': EMA_self_report item_or_signal does not look like an explicit question.,14,6,84,84,14,98,6,8,14,6.0,0,48,48
pseudoprofile_FTC_ID036,0,0,,,14,6,84,84,14,98,4,5,9,9.333333333333334,20,20,20
pseudoprofile_FTC_ID017,0,5,,gVAR caution: T=56 is < 5*K=60 (K=12). Consider fewer variables or more timepoints. || criteria_variables[0] 'C01': EMA_self_report item_or_signal does not look like an explicit question. || criteria_variables[1] 'C02': EMA_self_report item_or_signal does not look like an explicit question. || criteria_variables[2] 'C03': EMA_self_report item_or_signal does not look like an explicit question. || criteria_variables[3] 'C04': EMA_self_report item_or_signal does not look like an explicit question.,14,4,56,56,14,70,6,6,12,4.666666666666667,36,36,36
pseudoprofile_FTC_ID040,0,0,,,28,4,112,112,28,140,5,5,10,11.2,17,25,25
pseudoprofile_FTC_ID033,0,0,,,14,6,84,84,14,98,6,4,10,8.4,24,24,24
pseudoprofile_FTC_ID018,0,0,,,28,2,56,56,28,84,5,5,10,5.6,9,25,25
