pseudoprofile_id,matrix,from_var_id,to_var_id,relevance_score_0_1_comma5,relevance_score_0_1_float
pseudoprofile_FTC_ID002,C_to_C,C01,C02,"0,40000",0.4
pseudoprofile_FTC_ID002,C_to_C,C01,C03,"0,35000",0.35
pseudoprofile_FTC_ID002,C_to_C,C01,C04,"0,30000",0.3
pseudoprofile_FTC_ID002,C_to_C,C01,C05,"0,28000",0.28
pseudoprofile_FTC_ID002,C_to_C,C01,C06,"0,25000",0.25
pseudoprofile_FTC_ID002,C_to_C,C02,C01,"0,42000",0.42
pseudoprofile_FTC_ID002,C_to_C,C02,C03,"0,37000",0.37
pseudoprofile_FTC_ID002,C_to_C,C02,C04,"0,32000",0.32
pseudoprofile_FTC_ID002,C_to_C,C02,C05,"0,29000",0.29
pseudoprofile_FTC_ID002,C_to_C,C02,C06,"0,25000",0.25
pseudoprofile_FTC_ID002,C_to_C,C03,C01,"0,37000",0.37
pseudoprofile_FTC_ID002,C_to_C,C03,C02,"0,40000",0.4
pseudoprofile_FTC_ID002,C_to_C,C03,C04,"0,34000",0.34
pseudoprofile_FTC_ID002,C_to_C,C03,C05,"0,31000",0.31
pseudoprofile_FTC_ID002,C_to_C,C03,C06,"0,28000",0.28
pseudoprofile_FTC_ID002,C_to_C,C04,C01,"0,35000",0.35
pseudoprofile_FTC_ID002,C_to_C,C04,C02,"0,32000",0.32
pseudoprofile_FTC_ID002,C_to_C,C04,C03,"0,34000",0.34
pseudoprofile_FTC_ID002,C_to_C,C04,C05,"0,29000",0.29
pseudoprofile_FTC_ID002,C_to_C,C04,C06,"0,25000",0.25
pseudoprofile_FTC_ID002,C_to_C,C05,C01,"0,31000",0.31
pseudoprofile_FTC_ID002,C_to_C,C05,C02,"0,29000",0.29
pseudoprofile_FTC_ID002,C_to_C,C05,C03,"0,28000",0.28
pseudoprofile_FTC_ID002,C_to_C,C05,C04,"0,29000",0.29
pseudoprofile_FTC_ID002,C_to_C,C05,C06,"0,27000",0.27
pseudoprofile_FTC_ID002,C_to_C,C06,C01,"0,28000",0.28
pseudoprofile_FTC_ID002,C_to_C,C06,C02,"0,29000",0.29
pseudoprofile_FTC_ID002,C_to_C,C06,C03,"0,30000",0.3
pseudoprofile_FTC_ID002,C_to_C,C06,C04,"0,28000",0.28
pseudoprofile_FTC_ID002,C_to_C,C06,C05,"0,25000",0.25
