pseudoprofile_id,edge_type,from_var_id,to_var_id,expected_sign,relation_interpretation,lag_spec,estimated_relevance_0_1,estimated_relevance_tier,notes
pseudoprofile_FTC_ID002,C_to_C,C02,C01,monotonic_negative,hypothesized_direct_causal,0-6h,0.42,medium,C02↔C01
pseudoprofile_FTC_ID002,C_to_C,C03,C01,monotonic_negative,hypothesized_direct_causal,0-6h,0.37,medium,C03→C01
pseudoprofile_FTC_ID002,C_to_C,C04,C01,monotonic_negative,hypothesized_direct_causal,0-6h,0.35,medium,C04→C01
pseudoprofile_FTC_ID002,C_to_C,C01,C02,monotonic_negative,hypothesized_direct_causal,0-6h,0.4,medium,C01→C02
pseudoprofile_FTC_ID002,C_to_C,C03,C02,monotonic_negative,hypothesized_direct_causal,0-6h,0.4,medium,C03→C02
pseudoprofile_FTC_ID002,C_to_C,C04,C02,monotonic_negative,hypothesized_direct_causal,0-6h,0.32,medium,C04→C02
pseudoprofile_FTC_ID002,C_to_C,C02,C03,monotonic_negative,hypothesized_direct_causal,0-6h,0.37,medium,C02→C03
pseudoprofile_FTC_ID002,C_to_C,C01,C03,unknown,unknown,0-6h,0.35,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID002,C_to_C,C04,C03,monotonic_negative,hypothesized_direct_causal,0-6h,0.34,medium,C04→C03
pseudoprofile_FTC_ID002,C_to_C,C03,C04,monotonic_negative,hypothesized_direct_causal,0-6h,0.34,medium,C03→C04
pseudoprofile_FTC_ID002,C_to_C,C02,C04,monotonic_negative,hypothesized_direct_causal,0-6h,0.32,medium,C02→C04
pseudoprofile_FTC_ID002,C_to_C,C01,C04,unknown,unknown,0-6h,0.3,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID002,C_to_C,C03,C05,monotonic_negative,hypothesized_direct_causal,0-6h,0.31,medium,C03→C05
pseudoprofile_FTC_ID002,C_to_C,C02,C05,monotonic_negative,hypothesized_direct_causal,0-6h,0.29,low,C02→C05
pseudoprofile_FTC_ID002,C_to_C,C04,C05,monotonic_negative,hypothesized_direct_causal,0-6h,0.29,low,C04→C05
pseudoprofile_FTC_ID002,C_to_C,C03,C06,monotonic_negative,hypothesized_direct_causal,0-6h,0.28,low,C03→C06
pseudoprofile_FTC_ID002,C_to_C,C05,C06,monotonic_negative,hypothesized_direct_causal,0-6h,0.27,low,C05→C06
pseudoprofile_FTC_ID002,C_to_C,C01,C06,unknown,unknown,0-6h,0.25,low,Auto-selected top incoming edge from dense grid (deterministic fix).
